province,candidate,coalition_parties,dprd_provincial_seats,dprd_provincial_seat_share,dpr_estimated_seats,dpr_estimated_seat_share,pilpres_vote_share,pilpres_minus_dprd_seat_share
Maluku Utara,Ganjar,PDIP|PPP|Hanura|Perindo,11,0.244444,1,0.333333,0.122300,-0.122144
Nusa Tenggara Timur,Ganjar,PDIP|PPP|Hanura|Perindo,14,0.215385,2,0.153846,0.329300,0.113915
Sulawesi Tengah,Ganjar,PDIP|PPP|Hanura|Perindo,11,0.200000,1,0.142857,0.089300,-0.110700
Bengkulu,Ganjar,PDIP|PPP|Hanura|Perindo,10,0.222222,1,0.250000,0.114700,-0.107522
Sulawesi Barat,Ganjar,PDIP|PPP|Hanura|Perindo,8,0.177778,1,0.250000,0.076300,-0.101478
Kepulauan Bangka Belitung,Ganjar,PDIP|PPP|Hanura|Perindo,12,0.266667,1,0.333333,0.170700,-0.095967
Jambi,Ganjar,PDIP|PPP|Hanura|Perindo,11,0.200000,1,0.125000,0.106200,-0.093800
Jawa Barat,Ganjar,PDIP|PPP|Hanura|Perindo,23,0.191667,11,0.120879,0.098200,-0.093467
Kalimantan Timur,Ganjar,PDIP|PPP|Hanura|Perindo,11,0.200000,1,0.125000,0.107600,-0.092400
Riau,Ganjar,PDIP|PPP|Hanura|Perindo,12,0.184615,2,0.153846,0.096900,-0.087715
Sumatera Barat,Ganjar,PDIP|PPP|Hanura|Perindo,8,0.123077,1,0.071429,0.040200,-0.082877
Banten,Ganjar,PDIP|PPP|Hanura|Perindo,18,0.180000,4,0.181818,0.099900,-0.080100
Papua Barat,Ganjar,PDIP|PPP|Hanura|Perindo,10,0.285714,1,0.333333,0.364200,0.078486
Kalimantan Utara,Ganjar,PDIP|PPP|Hanura|Perindo,7,0.200000,1,0.333333,0.126200,-0.073800
Papua Tengah,Ganjar,PDIP|PPP|Hanura|Perindo,17,0.377778,1,0.333333,0.304000,-0.073778
Daerah Istimewa Yogyakarta,Ganjar,PDIP|PPP|Hanura|Perindo,20,0.363636,2,0.250000,0.295700,-0.067936
Sumatera Selatan,Ganjar,PDIP|PPP|Hanura|Perindo,13,0.173333,2,0.117647,0.115500,-0.057833
Aceh,Ganjar,PDIP|PPP|Hanura|Perindo,6,0.074074,1,0.076923,0.020100,-0.053974
Papua Pegunungan,Ganjar,PDIP|PPP|Hanura|Perindo,8,0.177778,1,0.333333,0.135500,-0.042278
Papua,Ganjar,PDIP|PPP|Hanura|Perindo,11,0.244444,1,0.333333,0.285700,0.041256
Jawa Timur,Ganjar,PDIP|PPP|Hanura|Perindo,25,0.208333,19,0.218391,0.172900,-0.035433
