province,party_code,party_name,provincial_seats,kabkot_seats,kabkot_to_provincial_ratio,ratio_defined
Nusa Tenggara Barat,NasDem,Partai NasDem,4,43,10.750000,true
Nusa Tenggara Barat,Buruh,Partai Buruh,0,0,,false
Nusa Tenggara Barat,Gelora,Partai Gelombang Rakyat Indonesia,0,9,,false
Nusa Tenggara Barat,PKS,Partai Keadilan Sejahtera,8,41,5.125000,true
Nusa Tenggara Barat,PKN,Partai Kebangkitan Nusantara,0,0,,false
Nusa Tenggara Barat,Hanura,Partai Hati Nurani Rakyat,1,9,9.000000,true
Nusa Tenggara Barat,Garuda,Partai Garda Republik Indonesia,0,0,,false
Nusa Tenggara Barat,PAN,Partai Amanat Nasional,4,34,8.500000,true
Nusa Tenggara Barat,PBB,Partai Bulan Bintang,2,10,5.000000,true
Nusa Tenggara Barat,Demokrat,Partai Demokrat,6,34,5.666667,true
Nusa Tenggara Barat,PSI,Partai Solidaritas Indonesia,0,0,,false
Nusa Tenggara Barat,Perindo,Partai Perindo,3,11,3.666667,true
Nusa Tenggara Barat,PPP,Partai Persatuan Pembangunan,7,35,5.000000,true
Nusa Tenggara Barat,PNA,PNA,0,0,,false
Nusa Tenggara Barat,Gabthat,Gabthat,0,0,,false
Nusa Tenggara Barat,PDA,PDA,0,0,,false
Nusa Tenggara Barat,PA,PA,0,0,,false
Nusa Tenggara Barat,PASA,PASA,0,0,,false
Nusa Tenggara Barat,SIRA,SIRA,0,0,,false
Nusa Tenggara Barat,Ummat,Partai Ummat,0,1,,false
Nusa Tenggara Timur,PKB,Partai Kebangkitan Bangsa,7,76,10.857143,true
Nusa Tenggara Timur,Gerindra,Partai Gerakan Indonesia Raya,9,73,8.111111,true
Nusa Tenggara Timur,PDIP,Partai Demokrasi Indonesia Perjuangan,9,82,9.111111,true
Nusa Tenggara Timur,Golkar,Partai Golongan Karya,9,80,8.888889,true
Nusa Tenggara Timur,NasDem,Partai NasDem,8,87,10.875000,true
Nusa Tenggara Timur,Buruh,Partai Buruh,0,0,,false
Nusa Tenggara Timur,Gelora,Partai Gelombang Rakyat Indonesia,0,4,,false
Nusa Tenggara Timur,PKS,Partai Keadilan Sejahtera,1,14,14.000000,true
Nusa Tenggara Timur,PKN,Partai Kebangkitan Nusantara,0,1,,false
Nusa Tenggara Timur,Hanura,Partai Hati Nurani Rakyat,4,45,11.250000,true
Nusa Tenggara Timur,Garuda,Partai Garda Republik Indonesia,0,2,,false
Nusa Tenggara Timur,PAN,Partai Amanat Nasional,4,48,12.000000,true
Nusa Tenggara Timur,PBB,Partai Bulan Bintang,0,3,,false
Nusa Tenggara Timur,Demokrat,Partai Demokrat,7,58,8.285714,true
Nusa Tenggara Timur,PSI,Partai Solidaritas Indonesia,6,28,4.666667,true
Nusa Tenggara Timur,Perindo,Partai Perindo,1,45,45.000000,true
Nusa Tenggara Timur,PPP,Partai Persatuan Pembangunan,0,4,,false
Nusa Tenggara Timur,PNA,PNA,0,0,,false
Nusa Tenggara Timur,Gabthat,Gabthat,0,0,,false
Nusa Tenggara Timur,PDA,PDA,0,0,,false
Nusa Tenggara Timur,PA,PA,0,0,,false
Nusa Tenggara Timur,PASA,PASA,0,0,,false
Nusa Tenggara Timur,SIRA,SIRA,0,0,,false
Nusa Tenggara Timur,Ummat,Partai Ummat,0,0,,false
Kalimantan Barat,PKB,Partai Kebangkitan Bangsa,5,39,7.800000,true
Kalimantan Barat,Gerindra,Partai Gerakan Indonesia Raya,9,67,7.444444,true
Kalimantan Barat,PDIP,Partai Demokrasi Indonesia Perjuangan,13,85,6.538462,true
Kalimantan Barat,Golkar,Partai Golongan Karya,9,68,7.555556,true
Kalimantan Barat,NasDem,Partai NasDem,10,68,6.800000,true
Kalimantan Barat,Buruh,Partai Buruh,0,0,,false
Kalimantan Barat,Gelora,Partai Gelombang Rakyat Indonesia,0,2,,false
Kalimantan Barat,PKS,Partai Keadilan Sejahtera,2,27,13.500000,true
Kalimantan Barat,PKN,Partai Kebangkitan Nusantara,0,0,,false
Kalimantan Barat,Hanura,Partai Hati Nurani Rakyat,4,29,7.250000,true
Kalimantan Barat,Garuda,Partai Garda Republik Indonesia,0,0,,false
Kalimantan Barat,PAN,Partai Amanat Nasional,5,47,9.400000,true
Kalimantan Barat,PBB,Partai Bulan Bintang,0,0,,false
Kalimantan Barat,Demokrat,Partai Demokrat,6,51,8.500000,true
Kalimantan Barat,PSI,Partai Solidaritas Indonesia,0,3,,false
Kalimantan Barat,Perindo,Partai Perindo,0,8,,false
Kalimantan Barat,PPP,Partai Persatuan Pembangunan,2,16,8.000000,true
Kalimantan Barat,PNA,PNA,0,0,,false
Kalimantan Barat,Gabthat,Gabthat,0,0,,false
Kalimantan Barat,PDA,PDA,0,0,,false
Kalimantan Barat,PA,PA,0,0,,false
Kalimantan Barat,PASA,PASA,0,0,,false
Kalimantan Barat,SIRA,SIRA,0,0,,false
Kalimantan Barat,Ummat,Partai Ummat,0,0,,false
Kalimantan Tengah,PKB,Partai Kebangkitan Bangsa,4,37,9.250000,true
Kalimantan Tengah,Gerindra,Partai Gerakan Indonesia Raya,6,48,8.000000,true
Kalimantan Tengah,PDIP,Partai Demokrasi Indonesia Perjuangan,10,80,8.000000,true
Kalimantan Tengah,Golkar,Partai Golongan Karya,8,66,8.250000,true
Kalimantan Tengah,NasDem,Partai NasDem,5,36,7.200000,true
Kalimantan Tengah,Buruh,Partai Buruh,0,0,,false
Kalimantan Tengah,Gelora,Partai Gelombang Rakyat Indonesia,0,0,,false
Kalimantan Tengah,PKS,Partai Keadilan Sejahtera,1,10,10.000000,true
Kalimantan Tengah,PKN,Partai Kebangkitan Nusantara,0,0,,false
Kalimantan Tengah,Hanura,Partai Hati Nurani Rakyat,0,10,,false
Kalimantan Tengah,Garuda,Partai Garda Republik Indonesia,0,0,,false
Kalimantan Tengah,PAN,Partai Amanat Nasional,4,27,6.750000,true
Kalimantan Tengah,PBB,Partai Bulan Bintang,0,1,,false
Kalimantan Tengah,Demokrat,Partai Demokrat,6,34,5.666667,true
Kalimantan Tengah,PSI,Partai Solidaritas Indonesia,0,3,,false
Kalimantan Tengah,Perindo,Partai Perindo,1,16,16.000000,true
Kalimantan Tengah,PPP,Partai Persatuan Pembangunan,0,17,,false
Kalimantan Tengah,PNA,PNA,0,0,,false
Kalimantan Tengah,Gabthat,Gabthat,0,0,,false
Kalimantan Tengah,PDA,PDA,0,0,,false
Kalimantan Tengah,PA,PA,0,0,,false
Kalimantan Tengah,PASA,PASA,0,0,,false
Kalimantan Tengah,SIRA,SIRA,0,0,,false
Kalimantan Tengah,Ummat,Partai Ummat,0,0,,false
Kalimantan Selatan,PKB,Partai Kebangkitan Bangsa,6,44,7.333333,true
Kalimantan Selatan,Gerindra,Partai Gerakan Indonesia Raya,7,58,8.285714,true
Kalimantan Selatan,PDIP,Partai Demokrasi Indonesia Perjuangan,3,46,15.333333,true
Kalimantan Selatan,Golkar,Partai Golongan Karya,13,80,6.153846,true
Kalimantan Selatan,NasDem,Partai NasDem,10,48,4.800000,true
Kalimantan Selatan,Buruh,Partai Buruh,0,0,,false
Kalimantan Selatan,Gelora,Partai Gelombang Rakyat Indonesia,0,2,,false
Kalimantan Selatan,PKS,Partai Keadilan Sejahtera,6,41,6.833333,true
Kalimantan Selatan,PKN,Partai Kebangkitan Nusantara,0,0,,false
Kalimantan Selatan,Hanura,Partai Hati Nurani Rakyat,0,2,,false
Kalimantan Selatan,Garuda,Partai Garda Republik Indonesia,0,0,,false
Kalimantan Selatan,PAN,Partai Amanat Nasional,6,46,7.666667,true
Kalimantan Selatan,PBB,Partai Bulan Bintang,0,3,,false
Kalimantan Selatan,Demokrat,Partai Demokrat,3,28,9.333333,true
Kalimantan Selatan,PSI,Partai Solidaritas Indonesia,0,0,,false
Kalimantan Selatan,Perindo,Partai Perindo,0,0,,false
Kalimantan Selatan,PPP,Partai Persatuan Pembangunan,1,32,32.000000,true
Kalimantan Selatan,PNA,PNA,0,0,,false
Kalimantan Selatan,Gabthat,Gabthat,0,0,,false
Kalimantan Selatan,PDA,PDA,0,0,,false
Kalimantan Selatan,PA,PA,0,0,,false
Kalimantan Selatan,PASA,PASA,0,0,,false
Kalimantan Selatan,SIRA,SIRA,0,0,,false
Kalimantan Selatan,Ummat,Partai Ummat,0,0,,false
Kalimantan Timur,PKB,Partai Kebangkitan Bangsa,6,32,5.333333,true
Kalimantan Timur,Gerindra,Partai Gerakan Indonesia Raya,10,47,4.700000,true
Kalimantan Timur,PDIP,Partai Demokrasi Indonesia Perjuangan,9,47,5.222222,true
Kalimantan Timur,Golkar,Partai Golongan Karya,15,69,4.600000,true
Kalimantan Timur,NasDem,Partai NasDem,3,36,12.000000,true
Kalimantan Timur,Buruh,Partai Buruh,0,0,,false
Kalimantan Timur,Gelora,Partai Gelombang Rakyat Indonesia,0,4,,false
Kalimantan Timur,PKS,Partai Keadilan Sejahtera,4,27,6.750000,true
Kalimantan Timur,PKN,Partai Kebangkitan Nusantara,0,0,,false
Kalimantan Timur,Hanura,Partai Hati Nurani Rakyat,0,8,,false
Kalimantan Timur,Garuda,Partai Garda Republik Indonesia,0,0,,false
Kalimantan Timur,PAN,Partai Amanat Nasional,4,18,4.500000,true
Kalimantan Timur,PBB,Partai Bulan Bintang,0,1,,false
Kalimantan Timur,Demokrat,Partai Demokrat,2,27,13.500000,true
Kalimantan Timur,PSI,Partai Solidaritas Indonesia,0,0,,false
Kalimantan Timur,Perindo,Partai Perindo,0,3,,false
Kalimantan Timur,PPP,Partai Persatuan Pembangunan,2,11,5.500000,true
Kalimantan Timur,PNA,PNA,0,0,,false
Kalimantan Timur,Gabthat,Gabthat,0,0,,false
Kalimantan Timur,PDA,PDA,0,0,,false
Kalimantan Timur,PA,PA,0,0,,false
Kalimantan Timur,PASA,PASA,0,0,,false
Kalimantan Timur,SIRA,SIRA,0,0,,false
Kalimantan Timur,Ummat,Partai Ummat,0,0,,false
Kalimantan Utara,PKB,Partai Kebangkitan Bangsa,2,9,4.500000,true
Kalimantan Utara,Gerindra,Partai Gerakan Indonesia Raya,6,14,2.333333,true
Kalimantan Utara,PDIP,Partai Demokrasi Indonesia Perjuangan,3,13,4.333333,true
Kalimantan Utara,Golkar,Partai Golongan Karya,6,14,2.333333,true
Kalimantan Utara,NasDem,Partai NasDem,2,11,5.500000,true
Kalimantan Utara,Buruh,Partai Buruh,0,0,,false
Kalimantan Utara,Gelora,Partai Gelombang Rakyat Indonesia,0,0,,false
Kalimantan Utara,PKS,Partai Keadilan Sejahtera,4,11,2.750000,true
Kalimantan Utara,PKN,Partai Kebangkitan Nusantara,0,0,,false
Kalimantan Utara,Hanura,Partai Hati Nurani Rakyat,3,15,5.000000,true
Kalimantan Utara,Garuda,Partai Garda Republik Indonesia,0,0,,false
Kalimantan Utara,PAN,Partai Amanat Nasional,2,9,4.500000,true
Kalimantan Utara,PBB,Partai Bulan Bintang,0,1,,false
Kalimantan Utara,Demokrat,Partai Demokrat,6,19,3.166667,true
Kalimantan Utara,PSI,Partai Solidaritas Indonesia,0,2,,false
Kalimantan Utara,Perindo,Partai Perindo,0,1,,false
Kalimantan Utara,PPP,Partai Persatuan Pembangunan,1,6,6.000000,true
Kalimantan Utara,PNA,PNA,0,0,,false
Kalimantan Utara,Gabthat,Gabthat,0,0,,false
Kalimantan Utara,PDA,PDA,0,0,,false
Kalimantan Utara,PA,PA,0,0,,false
Kalimantan Utara,PASA,PASA,0,0,,false
Kalimantan Utara,SIRA,SIRA,0,0,,false
Kalimantan Utara,Ummat,Partai Ummat,0,0,,false
Sulawesi Utara,PKB,Partai Kebangkitan Bangsa,1,17,17.000000,true
Sulawesi Utara,Gerindra,Partai Gerakan Indonesia Raya,4,38,9.500000,true
Sulawesi Utara,PDIP,Partai Demokrasi Indonesia Perjuangan,19,153,8.052632,true
Sulawesi Utara,Golkar,Partai Golongan Karya,6,61,10.166667,true
Sulawesi Utara,NasDem,Partai NasDem,6,46,7.666667,true
Sulawesi Utara,Buruh,Partai Buruh,0,0,,false
Sulawesi Utara,Gelora,Partai Gelombang Rakyat Indonesia,0,0,,false
Sulawesi Utara,PKS,Partai Keadilan Sejahtera,1,6,6.000000,true
Sulawesi Utara,PKN,Partai Kebangkitan Nusantara,0,0,,false
Sulawesi Utara,Hanura,Partai Hati Nurani Rakyat,0,5,,false
Sulawesi Utara,Garuda,Partai Garda Republik Indonesia,0,0,,false
Sulawesi Utara,PAN,Partai Amanat Nasional,0,5,,false
Sulawesi Utara,PBB,Partai Bulan Bintang,0,1,,false
Sulawesi Utara,Demokrat,Partai Demokrat,6,38,6.333333,true
Sulawesi Utara,PSI,Partai Solidaritas Indonesia,1,3,3.000000,true
Sulawesi Utara,Perindo,Partai Perindo,1,19,19.000000,true
Sulawesi Utara,PPP,Partai Persatuan Pembangunan,0,8,,false
Sulawesi Utara,PNA,PNA,0,0,,false
Sulawesi Utara,Gabthat,Gabthat,0,0,,false
Sulawesi Utara,PDA,PDA,0,0,,false
Sulawesi Utara,PA,PA,0,0,,false
Sulawesi Utara,PASA,PASA,0,0,,false
Sulawesi Utara,SIRA,SIRA,0,0,,false
Sulawesi Utara,Ummat,Partai Ummat,0,0,,false
Gorontalo,PKB,Partai Kebangkitan Bangsa,1,6,6.000000,true
Gorontalo,Gerindra,Partai Gerakan Indonesia Raya,6,22,3.666667,true
Gorontalo,PDIP,Partai Demokrasi Indonesia Perjuangan,7,20,2.857143,true
Gorontalo,Golkar,Partai Golongan Karya,8,34,4.250000,true
Gorontalo,NasDem,Partai NasDem,7,30,4.285714,true
Gorontalo,Buruh,Partai Buruh,0,0,,false
Gorontalo,Gelora,Partai Gelombang Rakyat Indonesia,0,2,,false
Gorontalo,PKS,Partai Keadilan Sejahtera,5,9,1.800000,true
Gorontalo,PKN,Partai Kebangkitan Nusantara,0,0,,false
Gorontalo,Hanura,Partai Hati Nurani Rakyat,1,6,6.000000,true
Gorontalo,Garuda,Partai Garda Republik Indonesia,0,0,,false
Gorontalo,PAN,Partai Amanat Nasional,3,10,3.333333,true
Gorontalo,PBB,Partai Bulan Bintang,0,0,,false
Gorontalo,Demokrat,Partai Demokrat,3,11,3.666667,true
Gorontalo,PSI,Partai Solidaritas Indonesia,0,0,,false
Gorontalo,Perindo,Partai Perindo,0,1,,false
Gorontalo,PPP,Partai Persatuan Pembangunan,4,19,4.750000,true
Gorontalo,PNA,PNA,0,0,,false
Gorontalo,Gabthat,Gabthat,0,0,,false
Gorontalo,PDA,PDA,0,0,,false
Gorontalo,PA,PA,0,0,,false
Gorontalo,PASA,PASA,0,0,,false
Gorontalo,SIRA,SIRA,0,0,,false
Gorontalo,Ummat,Partai Ummat,0,0,,false
Sulawesi Tengah,PKB,Partai Kebangkitan Bangsa,5,33,6.600000,true
Sulawesi Tengah,Gerindra,Partai Gerakan Indonesia Raya,7,48,6.857143,true
Sulawesi Tengah,PDIP,Partai Demokrasi Indonesia Perjuangan,7,42,6.000000,true
Sulawesi Tengah,Golkar,Partai Golongan Karya,8,59,7.375000,true
Sulawesi Tengah,NasDem,Partai NasDem,8,55,6.875000,true
Sulawesi Tengah,Buruh,Partai Buruh,0,0,,false
Sulawesi Tengah,Gelora,Partai Gelombang Rakyat Indonesia,0,0,,false
Sulawesi Tengah,PKS,Partai Keadilan Sejahtera,5,25,5.000000,true
Sulawesi Tengah,PKN,Partai Kebangkitan Nusantara,0,0,,false
Sulawesi Tengah,Hanura,Partai Hati Nurani Rakyat,1,17,17.000000,true
Sulawesi Tengah,Garuda,Partai Garda Republik Indonesia,0,0,,false
Sulawesi Tengah,PAN,Partai Amanat Nasional,2,19,9.500000,true
Sulawesi Tengah,PBB,Partai Bulan Bintang,1,12,12.000000,true
Sulawesi Tengah,Demokrat,Partai Demokrat,8,40,5.000000,true
Sulawesi Tengah,PSI,Partai Solidaritas Indonesia,0,2,,false
Sulawesi Tengah,Perindo,Partai Perindo,2,20,10.000000,true
Sulawesi Tengah,PPP,Partai Persatuan Pembangunan,1,8,8.000000,true
Sulawesi Tengah,PNA,PNA,0,0,,false
Sulawesi Tengah,Gabthat,Gabthat,0,0,,false
Sulawesi Tengah,PDA,PDA,0,0,,false
Sulawesi Tengah,PA,PA,0,0,,false
Sulawesi Tengah,PASA,PASA,0,0,,false
Sulawesi Tengah,SIRA,SIRA,0,0,,false
Sulawesi Tengah,Ummat,Partai Ummat,0,0,,false
Sulawesi Selatan,PKB,Partai Kebangkitan Bangsa,8,69,8.625000,true
Sulawesi Selatan,Gerindra,Partai Gerakan Indonesia Raya,13,102,7.846154,true
Sulawesi Selatan,PDIP,Partai Demokrasi Indonesia Perjuangan,6,58,9.666667,true
Sulawesi Selatan,Golkar,Partai Golongan Karya,14,138,9.857143,true
Sulawesi Selatan,NasDem,Partai NasDem,17,142,8.352941,true
Sulawesi Selatan,Buruh,Partai Buruh,0,0,,false
Sulawesi Selatan,Gelora,Partai Gelombang Rakyat Indonesia,0,10,,false
Sulawesi Selatan,PKS,Partai Keadilan Sejahtera,7,58,8.285714,true
Sulawesi Selatan,PKN,Partai Kebangkitan Nusantara,0,0,,false
Sulawesi Selatan,Hanura,Partai Hati Nurani Rakyat,1,20,20.000000,true
Sulawesi Selatan,Garuda,Partai Garda Republik Indonesia,0,0,,false
Sulawesi Selatan,PAN,Partai Amanat Nasional,4,74,18.500000,true
Sulawesi Selatan,PBB,Partai Bulan Bintang,0,3,,false
Sulawesi Selatan,Demokrat,Partai Demokrat,7,69,9.857143,true
Sulawesi Selatan,PSI,Partai Solidaritas Indonesia,0,2,,false
Sulawesi Selatan,Perindo,Partai Perindo,0,10,,false
Sulawesi Selatan,PPP,Partai Persatuan Pembangunan,8,69,8.625000,true
Sulawesi Selatan,PNA,PNA,0,0,,false
Sulawesi Selatan,Gabthat,Gabthat,0,0,,false
Sulawesi Selatan,PDA,PDA,0,0,,false
Sulawesi Selatan,PA,PA,0,0,,false
Sulawesi Selatan,PASA,PASA,0,0,,false
Sulawesi Selatan,SIRA,SIRA,0,0,,false
Sulawesi Selatan,Ummat,Partai Ummat,0,1,,false
Sulawesi Barat,PKB,Partai Kebangkitan Bangsa,3,14,4.666667,true
Sulawesi Barat,Gerindra,Partai Gerakan Indonesia Raya,5,16,3.200000,true
Sulawesi Barat,PDIP,Partai Demokrasi Indonesia Perjuangan,5,19,3.800000,true
Sulawesi Barat,Golkar,Partai Golongan Karya,10,27,2.700000,true
Sulawesi Barat,NasDem,Partai NasDem,5,23,4.600000,true
Sulawesi Barat,Buruh,Partai Buruh,0,0,,false
Sulawesi Barat,Gelora,Partai Gelombang Rakyat Indonesia,0,2,,false
Sulawesi Barat,PKS,Partai Keadilan Sejahtera,1,8,8.000000,true
Sulawesi Barat,PKN,Partai Kebangkitan Nusantara,0,1,,false
Sulawesi Barat,Hanura,Partai Hati Nurani Rakyat,2,7,3.500000,true
Sulawesi Barat,Garuda,Partai Garda Republik Indonesia,0,0,,false
Sulawesi Barat,PAN,Partai Amanat Nasional,5,15,3.000000,true
Sulawesi Barat,PBB,Partai Bulan Bintang,0,1,,false
Sulawesi Barat,Demokrat,Partai Demokrat,8,24,3.000000,true
Sulawesi Barat,PSI,Partai Solidaritas Indonesia,0,1,,false
Sulawesi Barat,Perindo,Partai Perindo,0,3,,false
Sulawesi Barat,PPP,Partai Persatuan Pembangunan,1,9,9.000000,true
Sulawesi Barat,PNA,PNA,0,0,,false
Sulawesi Barat,Gabthat,Gabthat,0,0,,false
Sulawesi Barat,PDA,PDA,0,0,,false
Sulawesi Barat,PA,PA,0,0,,false
Sulawesi Barat,PASA,PASA,0,0,,false
Sulawesi Barat,SIRA,SIRA,0,0,,false
Sulawesi Barat,Ummat,Partai Ummat,0,0,,false
Sulawesi Tenggara,PKB,Partai Kebangkitan Bangsa,3,36,12.000000,true
Sulawesi Tenggara,Gerindra,Partai Gerakan Indonesia Raya,5,48,9.600000,true
Sulawesi Tenggara,PDIP,Partai Demokrasi Indonesia Perjuangan,6,74,12.333333,true
Sulawesi Tenggara,Golkar,Partai Golongan Karya,6,58,9.666667,true
Sulawesi Tenggara,NasDem,Partai NasDem,6,59,9.833333,true
Sulawesi Tenggara,Buruh,Partai Buruh,0,0,,false
Sulawesi Tenggara,Gelora,Partai Gelombang Rakyat Indonesia,0,0,,false
Sulawesi Tenggara,PKS,Partai Keadilan Sejahtera,4,33,8.250000,true
Sulawesi Tenggara,PKN,Partai Kebangkitan Nusantara,0,5,,false
Sulawesi Tenggara,Hanura,Partai Hati Nurani Rakyat,1,16,16.000000,true
Sulawesi Tenggara,Garuda,Partai Garda Republik Indonesia,0,0,,false
Sulawesi Tenggara,PAN,Partai Amanat Nasional,3,36,12.000000,true
Sulawesi Tenggara,PBB,Partai Bulan Bintang,4,20,5.000000,true
Sulawesi Tenggara,Demokrat,Partai Demokrat,4,37,9.250000,true
Sulawesi Tenggara,PSI,Partai Solidaritas Indonesia,0,1,,false
Sulawesi Tenggara,Perindo,Partai Perindo,0,5,,false
Sulawesi Tenggara,PPP,Partai Persatuan Pembangunan,3,12,4.000000,true
Sulawesi Tenggara,PNA,PNA,0,0,,false
Sulawesi Tenggara,Gabthat,Gabthat,0,0,,false
Sulawesi Tenggara,PDA,PDA,0,0,,false
Sulawesi Tenggara,PA,PA,0,0,,false
Sulawesi Tenggara,PASA,PASA,0,0,,false
Sulawesi Tenggara,SIRA,SIRA,0,0,,false
Sulawesi Tenggara,Ummat,Partai Ummat,0,0,,false
Maluku,PKB,Partai Kebangkitan Bangsa,4,31,7.750000,true
Maluku,Gerindra,Partai Gerakan Indonesia Raya,5,26,5.200000,true
Maluku,PDIP,Partai Demokrasi Indonesia Perjuangan,8,38,4.750000,true
Maluku,Golkar,Partai Golongan Karya,4,27,6.750000,true
Maluku,NasDem,Partai NasDem,6,35,5.833333,true
Maluku,Buruh,Partai Buruh,0,1,,false
Maluku,Gelora,Partai Gelombang Rakyat Indonesia,0,1,,false
Maluku,PKS,Partai Keadilan Sejahtera,4,25,6.250000,true
Maluku,PKN,Partai Kebangkitan Nusantara,0,4,,false
Maluku,Hanura,Partai Hati Nurani Rakyat,3,16,5.333333,true
Maluku,Garuda,Partai Garda Republik Indonesia,0,0,,false
Maluku,PAN,Partai Amanat Nasional,3,20,6.666667,true
Maluku,PBB,Partai Bulan Bintang,0,2,,false
Maluku,Demokrat,Partai Demokrat,4,22,5.500000,true
Maluku,PSI,Partai Solidaritas Indonesia,0,8,,false
Maluku,Perindo,Partai Perindo,2,18,9.000000,true
Maluku,PPP,Partai Persatuan Pembangunan,2,16,8.000000,true
Maluku,PNA,PNA,0,0,,false
Maluku,Gabthat,Gabthat,0,0,,false
Maluku,PDA,PDA,0,0,,false
Maluku,PA,PA,0,0,,false
Maluku,PASA,PASA,0,0,,false
Maluku,SIRA,SIRA,0,0,,false
Maluku,Ummat,Partai Ummat,0,0,,false
Maluku Utara,PKB,Partai Kebangkitan Bangsa,4,26,6.500000,true
Maluku Utara,Gerindra,Partai Gerakan Indonesia Raya,4,25,6.250000,true
Maluku Utara,PDIP,Partai Demokrasi Indonesia Perjuangan,5,37,7.400000,true
Maluku Utara,Golkar,Partai Golongan Karya,8,34,4.250000,true
Maluku Utara,NasDem,Partai NasDem,5,24,4.800000,true
Maluku Utara,Buruh,Partai Buruh,0,0,,false
Maluku Utara,Gelora,Partai Gelombang Rakyat Indonesia,0,4,,false
Maluku Utara,PKS,Partai Keadilan Sejahtera,5,14,2.800000,true
Maluku Utara,PKN,Partai Kebangkitan Nusantara,0,1,,false
Maluku Utara,Hanura,Partai Hati Nurani Rakyat,5,12,2.400000,true
Maluku Utara,Garuda,Partai Garda Republik Indonesia,1,3,3.000000,true
Maluku Utara,PAN,Partai Amanat Nasional,3,15,5.000000,true
Maluku Utara,PBB,Partai Bulan Bintang,1,5,5.000000,true
Maluku Utara,Demokrat,Partai Demokrat,3,25,8.333333,true
Maluku Utara,PSI,Partai Solidaritas Indonesia,0,6,,false
Maluku Utara,Perindo,Partai Perindo,1,10,10.000000,true
Maluku Utara,PPP,Partai Persatuan Pembangunan,0,4,,false
Maluku Utara,PNA,PNA,0,0,,false
Maluku Utara,Gabthat,Gabthat,0,0,,false
Maluku Utara,PDA,PDA,0,0,,false
Maluku Utara,PA,PA,0,0,,false
Maluku Utara,PASA,PASA,0,0,,false
Maluku Utara,SIRA,SIRA,0,0,,false
Maluku Utara,Ummat,Partai Ummat,0,0,,false
Papua,PKB,Partai Kebangkitan Bangsa,3,17,5.666667,true
Papua,Gerindra,Partai Gerakan Indonesia Raya,3,15,5.000000,true
Papua,PDIP,Partai Demokrasi Indonesia Perjuangan,7,24,3.428571,true
Papua,Golkar,Partai Golongan Karya,10,33,3.300000,true
Papua,NasDem,Partai NasDem,7,24,3.428571,true
Papua,Buruh,Partai Buruh,0,1,,false
Papua,Gelora,Partai Gelombang Rakyat Indonesia,0,6,,false
Papua,PKS,Partai Keadilan Sejahtera,3,11,3.666667,true
Papua,PKN,Partai Kebangkitan Nusantara,0,5,,false
Papua,Hanura,Partai Hati Nurani Rakyat,0,11,,false
Papua,Garuda,Partai Garda Republik Indonesia,0,1,,false
Papua,PAN,Partai Amanat Nasional,3,12,4.000000,true
Papua,PBB,Partai Bulan Bintang,0,6,,false
Papua,Demokrat,Partai Demokrat,3,14,4.666667,true
Papua,PSI,Partai Solidaritas Indonesia,2,8,4.000000,true
Papua,Perindo,Partai Perindo,3,13,4.333333,true
Papua,PPP,Partai Persatuan Pembangunan,1,11,11.000000,true
Papua,PNA,PNA,0,0,,false
Papua,Gabthat,Gabthat,0,0,,false
Papua,PDA,PDA,0,0,,false
Papua,PA,PA,0,0,,false
Papua,PASA,PASA,0,0,,false
Papua,SIRA,SIRA,0,0,,false
Papua,Ummat,Partai Ummat,0,3,,false
Papua Barat,PKB,Partai Kebangkitan Bangsa,3,9,3.000000,true
Papua Barat,Gerindra,Partai Gerakan Indonesia Raya,3,20,6.666667,true
Papua Barat,PDIP,Partai Demokrasi Indonesia Perjuangan,7,21,3.000000,true
Papua Barat,Golkar,Partai Golongan Karya,7,18,2.571429,true
Papua Barat,NasDem,Partai NasDem,5,17,3.400000,true
Papua Barat,Buruh,Partai Buruh,0,1,,false
Papua Barat,Gelora,Partai Gelombang Rakyat Indonesia,0,0,,false
Papua Barat,PKS,Partai Keadilan Sejahtera,1,9,9.000000,true
Papua Barat,PKN,Partai Kebangkitan Nusantara,0,0,,false
Papua Barat,Hanura,Partai Hati Nurani Rakyat,0,5,,false
Papua Barat,Garuda,Partai Garda Republik Indonesia,0,2,,false
Papua Barat,PAN,Partai Amanat Nasional,3,12,4.000000,true
Papua Barat,PBB,Partai Bulan Bintang,0,3,,false
Papua Barat,Demokrat,Partai Demokrat,3,5,1.666667,true
Papua Barat,PSI,Partai Solidaritas Indonesia,0,5,,false
Papua Barat,Perindo,Partai Perindo,2,13,6.500000,true
Papua Barat,PPP,Partai Persatuan Pembangunan,1,9,9.000000,true
Papua Barat,PNA,PNA,0,0,,false
Papua Barat,Gabthat,Gabthat,0,0,,false
Papua Barat,PDA,PDA,0,0,,false
Papua Barat,PA,PA,0,0,,false
Papua Barat,PASA,PASA,0,0,,false
Papua Barat,SIRA,SIRA,0,0,,false
Papua Barat,Ummat,Partai Ummat,0,1,,false
Papua Selatan,PKB,Partai Kebangkitan Bangsa,3,10,3.333333,true
Papua Selatan,Gerindra,Partai Gerakan Indonesia Raya,5,11,2.200000,true
Papua Selatan,PDIP,Partai Demokrasi Indonesia Perjuangan,7,20,2.857143,true
Papua Selatan,Golkar,Partai Golongan Karya,4,12,3.000000,true
Papua Selatan,NasDem,Partai NasDem,6,14,2.333333,true
Papua Selatan,Buruh,Partai Buruh,0,0,,false
