province,party_code,party_name,provincial_seats,kabkot_seats,kabkot_to_provincial_ratio,ratio_defined
Kepulauan Riau,Golkar,Partai Golongan Karya,9,32,3.555556,true
Kepulauan Riau,NasDem,Partai NasDem,7,36,5.142857,true
Kepulauan Riau,Buruh,Partai Buruh,0,0,,false
Kepulauan Riau,Gelora,Partai Gelombang Rakyat Indonesia,0,0,,false
Kepulauan Riau,PKS,Partai Keadilan Sejahtera,6,18,3.000000,true
Kepulauan Riau,PKN,Partai Kebangkitan Nusantara,0,1,,false
Kepulauan Riau,Hanura,Partai Hati Nurani Rakyat,1,9,9.000000,true
Kepulauan Riau,Garuda,Partai Garda Republik Indonesia,0,0,,false
Kepulauan Riau,PAN,Partai Amanat Nasional,2,11,5.500000,true
Kepulauan Riau,PBB,Partai Bulan Bintang,0,2,,false
Kepulauan Riau,Demokrat,Partai Demokrat,3,19,6.333333,true
Kepulauan Riau,PSI,Partai Solidaritas Indonesia,1,1,1.000000,true
Kepulauan Riau,Perindo,Partai Perindo,1,3,3.000000,true
Kepulauan Riau,PPP,Partai Persatuan Pembangunan,0,7,,false
Kepulauan Riau,PNA,PNA,0,0,,false
Kepulauan Riau,Gabthat,Gabthat,0,0,,false
Kepulauan Riau,PDA,PDA,0,0,,false
Kepulauan Riau,PA,PA,0,0,,false
Kepulauan Riau,PASA,PASA,0,0,,false
Kepulauan Riau,SIRA,SIRA,0,0,,false
Kepulauan Riau,Ummat,Partai Ummat,0,0,,false
Jambi,PKB,Partai Kebangkitan Bangsa,6,34,5.666667,true
Jambi,Gerindra,Partai Gerakan Indonesia Raya,6,41,6.833333,true
Jambi,PDIP,Partai Demokrasi Indonesia Perjuangan,6,40,6.666667,true
Jambi,Golkar,Partai Golongan Karya,7,52,7.428571,true
Jambi,NasDem,Partai NasDem,5,44,8.800000,true
Jambi,Buruh,Partai Buruh,0,0,,false
Jambi,Gelora,Partai Gelombang Rakyat Indonesia,0,0,,false
Jambi,PKS,Partai Keadilan Sejahtera,5,27,5.400000,true
Jambi,PKN,Partai Kebangkitan Nusantara,0,3,,false
Jambi,Hanura,Partai Hati Nurani Rakyat,0,4,,false
Jambi,Garuda,Partai Garda Republik Indonesia,0,0,,false
Jambi,PAN,Partai Amanat Nasional,10,57,5.700000,true
Jambi,PBB,Partai Bulan Bintang,0,1,,false
Jambi,Demokrat,Partai Demokrat,5,32,6.400000,true
Jambi,PSI,Partai Solidaritas Indonesia,0,0,,false
Jambi,Perindo,Partai Perindo,0,8,,false
Jambi,PPP,Partai Persatuan Pembangunan,5,32,6.400000,true
Jambi,PNA,PNA,0,0,,false
Jambi,Gabthat,Gabthat,0,0,,false
Jambi,PDA,PDA,0,0,,false
Jambi,PA,PA,0,0,,false
Jambi,PASA,PASA,0,0,,false
Jambi,SIRA,SIRA,0,0,,false
Jambi,Ummat,Partai Ummat,0,0,,false
Sumatera Selatan,PKB,Partai Kebangkitan Bangsa,7,62,8.857143,true
Sumatera Selatan,Gerindra,Partai Gerakan Indonesia Raya,11,92,8.363636,true
Sumatera Selatan,PDIP,Partai Demokrasi Indonesia Perjuangan,9,83,9.222222,true
Sumatera Selatan,Golkar,Partai Golongan Karya,12,85,7.083333,true
Sumatera Selatan,NasDem,Partai NasDem,10,69,6.900000,true
Sumatera Selatan,Buruh,Partai Buruh,0,0,,false
Sumatera Selatan,Gelora,Partai Gelombang Rakyat Indonesia,0,0,,false
Sumatera Selatan,PKS,Partai Keadilan Sejahtera,7,46,6.571429,true
Sumatera Selatan,PKN,Partai Kebangkitan Nusantara,1,5,5.000000,true
Sumatera Selatan,Hanura,Partai Hati Nurani Rakyat,1,25,25.000000,true
Sumatera Selatan,Garuda,Partai Garda Republik Indonesia,0,1,,false
Sumatera Selatan,PAN,Partai Amanat Nasional,6,71,11.833333,true
Sumatera Selatan,PBB,Partai Bulan Bintang,0,8,,false
Sumatera Selatan,Demokrat,Partai Demokrat,8,67,8.375000,true
Sumatera Selatan,PSI,Partai Solidaritas Indonesia,0,0,,false
Sumatera Selatan,Perindo,Partai Perindo,1,7,7.000000,true
Sumatera Selatan,PPP,Partai Persatuan Pembangunan,2,24,12.000000,true
Sumatera Selatan,PNA,PNA,0,0,,false
Sumatera Selatan,Gabthat,Gabthat,0,0,,false
Sumatera Selatan,PDA,PDA,0,0,,false
Sumatera Selatan,PA,PA,0,0,,false
Sumatera Selatan,PASA,PASA,0,0,,false
Sumatera Selatan,SIRA,SIRA,0,0,,false
Sumatera Selatan,Ummat,Partai Ummat,0,0,,false
Kepulauan Bangka Belitung,PKB,Partai Kebangkitan Bangsa,2,15,7.500000,true
Kepulauan Bangka Belitung,Gerindra,Partai Gerakan Indonesia Raya,7,27,3.857143,true
Kepulauan Bangka Belitung,PDIP,Partai Demokrasi Indonesia Perjuangan,9,41,4.555556,true
Kepulauan Bangka Belitung,Golkar,Partai Golongan Karya,8,26,3.250000,true
