province,province_raw,district,party_number,party_code,party_name,party_vote,candidate_number,candidate_name,candidate_vote,candidate_rank,candidate_rank_raw
Aceh,ACEH,ACEH I,7,Gelora,Partai Gelombang Rakyat Indonesia,2163,3,KASUMIYATI,375,5,V
Aceh,ACEH,ACEH I,7,Gelora,Partai Gelombang Rakyat Indonesia,2163,5,EDY SUPENO,366,6,VI
Aceh,ACEH,ACEH I,7,Gelora,Partai Gelombang Rakyat Indonesia,2163,6,"FANIA VIVI HIKMAWATI, S.E.",92,7,VII
Aceh,ACEH,ACEH I,8,PKS,Partai Keadilan Sejahtera,15586,1,GHUFRAN,46713,1,I
Aceh,ACEH,ACEH I,8,PKS,Partai Keadilan Sejahtera,15586,2,RAFLY KANDE,45467,2,II
Aceh,ACEH,ACEH I,8,PKS,Partai Keadilan Sejahtera,15586,5,"SAID MUSTAJAB, S.Sos.",6892,3,III
Aceh,ACEH,ACEH I,8,PKS,Partai Keadilan Sejahtera,15586,4,BUHARI SELIAN,1797,4,IV
Aceh,ACEH,ACEH I,8,PKS,Partai Keadilan Sejahtera,15586,3,"FRIESKA INDAH SARI, S.E.",1487,5,V
Aceh,ACEH,ACEH I,8,PKS,Partai Keadilan Sejahtera,15586,6,"Ns. SINTA NELYSA, S.Kep.",904,6,VI
Aceh,ACEH,ACEH I,8,PKS,Partai Keadilan Sejahtera,15586,7,SRI WAHYUNI,735,7,VII
Aceh,ACEH,ACEH I,9,PKN,Partai Kebangkitan Nusantara,580,1,"YUDI KURNIA, S.E.",631,1,I
Aceh,ACEH,ACEH I,9,PKN,Partai Kebangkitan Nusantara,580,3,Hj. SERI PERAINI,218,2,II
Aceh,ACEH,ACEH I,9,PKN,Partai Kebangkitan Nusantara,580,2,AMRINUR OKTAJAYA,185,3,III
Aceh,ACEH,ACEH I,9,PKN,Partai Kebangkitan Nusantara,580,4,YANTI OCTAVIA,81,4,IV
Aceh,ACEH,ACEH I,9,PKN,Partai Kebangkitan Nusantara,580,5,NELY INDRAWATI,76,5,V
Aceh,ACEH,ACEH I,9,PKN,Partai Kebangkitan Nusantara,580,6,NOLA NOLIA,49,6,VI
Aceh,ACEH,ACEH I,10,Hanura,Partai Hati Nurani Rakyat,2313,2,"Dr. H. ASFIFUDDIN, S.H., M.H.",20214,1,I
Aceh,ACEH,ACEH I,10,Hanura,Partai Hati Nurani Rakyat,2313,1,"Prof. Dr. BACHTIAR ALY, M.A.",3203,2,II
Aceh,ACEH,ACEH I,10,Hanura,Partai Hati Nurani Rakyat,2313,4,"AL AMIN, S.H.",1610,3,III
