province,district,party_number,party_code,party_name,party_vote,candidate_count,candidate_vote_total,total_votes,top_candidate_name,top_candidate_vote,top_candidate_vote_share,party_vote_share
Jawa Timur,JAWA TIMUR X,16,Perindo,Partai Perindo,2558,6,8445,11003,"Dr. Hj. ERNA MASTININGRUM, S.H., M.Kn.",7376,0.873416,0.232482
Jawa Timur,JAWA TIMUR X,17,PPP,Partai Persatuan Pembangunan,8572,6,78135,86707,"RIAN SEPTRIANTO MAULANA, S.M.",44946,0.575235,0.098862
Jawa Timur,JAWA TIMUR X,24,Ummat,Partai Ummat,2664,6,11388,14052,MUHAMMAD OKBAH,6201,0.544521,0.189582
Jawa Timur,JAWA TIMUR XI,1,PKB,Partai Kebangkitan Bangsa,6805,8,309575,316380,"H. SYAFIUDDIN, S.Sos., M.H.",207478,0.670203,0.021509
Jawa Timur,JAWA TIMUR XI,2,Gerindra,Partai Gerakan Indonesia Raya,3748,8,244089,247837,"R. H. IMRON AMIN, S.H., M.H.",219778,0.900401,0.015123
Jawa Timur,JAWA TIMUR XI,3,PDIP,Partai Demokrasi Indonesia Perjuangan,8087,8,651893,659980,MH. SAID ABDULLAH,528815,0.811199,0.012253
Jawa Timur,JAWA TIMUR XI,4,Golkar,Partai Golongan Karya,1349,8,508444,509793,"Dr. ERIC HERMAWAN, M.T., M.M.",155619,0.306069,0.002646
Jawa Timur,JAWA TIMUR XI,5,NasDem,Partai NasDem,2279,8,263543,265822,WILLY ADITYA,142639,0.541236,0.008573
Jawa Timur,JAWA TIMUR XI,6,Buruh,Partai Buruh,346,8,589,935,"R.B. AKHMAD WAHID MODHAR, S.T.",346,0.587436,0.370053
Jawa Timur,JAWA TIMUR XI,7,Gelora,Partai Gelombang Rakyat Indonesia,521,3,420,941,"Abdul Rahim, S.Sos.",252,0.600000,0.553666
Jawa Timur,JAWA TIMUR XI,8,PKS,Partai Keadilan Sejahtera,1670,8,15706,17376,AHMAD AZHAR MOESLIM,7733,0.492360,0.096110
Jawa Timur,JAWA TIMUR XI,9,PKN,Partai Kebangkitan Nusantara,149,7,150,299,M. HUSNI MUBAROK,62,0.413333,0.498328
Jawa Timur,JAWA TIMUR XI,10,Hanura,Partai Hati Nurani Rakyat,472,2,802,1274,"MUHAMMAD ALIRRIDHO, M.H.",492,0.613466,0.370487
Jawa Timur,JAWA TIMUR XI,11,Garuda,Partai Garda Republik Indonesia,127,8,330,457,TIA AGUSTIANI,135,0.409091,0.277899
Jawa Timur,JAWA TIMUR XI,12,PAN,Partai Amanat Nasional,3188,8,266011,269199,"SLAMET ARIYADI, S.Psi.",154942,0.582465,0.011843
Jawa Timur,JAWA TIMUR XI,13,PBB,Partai Bulan Bintang,235,4,844,1079,Drs. H. ACHMAD FAUZI HASYIM,667,0.790284,0.217794
Jawa Timur,JAWA TIMUR XI,14,Demokrat,Partai Demokrat,2531,8,262993,265524,"H. HASANI BIN ZUBER, S.IP.",236655,0.899853,0.009532
Jawa Timur,JAWA TIMUR XI,15,PSI,Partai Solidaritas Indonesia,7590,8,4082,11672,MAKKY AL HAMID,3379,0.827780,0.650274
Jawa Timur,JAWA TIMUR XI,16,Perindo,Partai Perindo,73,8,214,287,Drs. SISWARYUDI HERU W.,111,0.518692,0.254355
Jawa Timur,JAWA TIMUR XI,17,PPP,Partai Persatuan Pembangunan,1816,8,406596,408412,"Dr. H. ACHMAD BAIDOWI, S.Sos., M.Si.",359189,0.883405,0.004446
Jawa Timur,JAWA TIMUR XI,24,Ummat,Partai Ummat,222,5,382,604,"JOKO SASMITO, S.E.",165,0.431937,0.367550
Banten,BANTEN I,1,PKB,Partai Kebangkitan Bangsa,48059,6,270297,318356,AHMAD FAUZI,98259,0.363522,0.150960
Banten,BANTEN I,2,Gerindra,Partai Gerakan Indonesia Raya,50831,6,94215,145046,"ALI ZAMRONI, S.Sos., M.A.P.",57524,0.610561,0.350447
Banten,BANTEN I,3,PDIP,Partai Demokrasi Indonesia Perjuangan,31837,6,109894,141731,"TIA RAHMANIA, M.Psi., Psikolog.",37359,0.339955,0.224630
Banten,BANTEN I,4,Golkar,Partai Golongan Karya,32860,6,84793,117653,"Dr. Hj. ADDE ROSI KHOERUNNISA, S.Sos., M.Si.",61848,0.729400,0.279296
Banten,BANTEN I,5,NasDem,Partai NasDem,24101,6,105888,129989,ARIF RAHMAN,46469,0.438850,0.185408
Banten,BANTEN I,6,Buruh,Partai Buruh,4629,6,5510,10139,AGUS RULI ARDIANSYAH,2891,0.524682,0.456554
Banten,BANTEN I,7,Gelora,Partai Gelombang Rakyat Indonesia,5869,2,2350,8219,"TUBAGUS BANIRIZQI, S.Kom.",1686,0.717447,0.714077
Banten,BANTEN I,8,PKS,Partai Keadilan Sejahtera,20460,6,80851,101311,"Dr. H. R. ACHMAD DIMYATI NATAKUSUMAH, S.H., M.H., M.Si.",55652,0.688328,0.201952
Banten,BANTEN I,9,PKN,Partai Kebangkitan Nusantara,1599,6,1282,2881,BAMBANG IRAWAN,433,0.337754,0.555016
Banten,BANTEN I,10,Hanura,Partai Hati Nurani Rakyat,1758,6,3631,5389,"HERI SAPARI KAHPI, S.E., M.M.",1535,0.422749,0.326220
Banten,BANTEN I,11,Garuda,Partai Garda Republik Indonesia,2131,6,3000,5131,MUKHLAS,1290,0.430000,0.415319
Banten,BANTEN I,12,PAN,Partai Amanat Nasional,12632,6,56392,69024,DEDE SUPRIYADI,25664,0.455100,0.183009
Banten,BANTEN I,13,PBB,Partai Bulan Bintang,2498,6,2736,5234,ATHORI LUBIS,1032,0.377193,0.477264
