province,province_raw,party_code,party_name,provincial_seats,source_url,notes
Riau,Riau,PKS,Partai Keadilan Sejahtera,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Riau,elected party seats only
Riau,Riau,Demokrat,Partai Demokrat,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Riau,elected party seats only
Riau,Riau,Gerindra,Partai Gerakan Indonesia Raya,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Riau,elected party seats only
Riau,Riau,NasDem,Partai NasDem,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Riau,elected party seats only
Riau,Riau,PKB,Partai Kebangkitan Bangsa,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Riau,elected party seats only
Riau,Riau,PAN,Partai Amanat Nasional,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Riau,elected party seats only
Riau,Riau,PPP,Partai Persatuan Pembangunan,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Riau,elected party seats only
Kepulauan Riau,Kepulauan Riau,Gerindra,Partai Gerakan Indonesia Raya,9,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Kepulauan Riau,Kepulauan Riau,Golkar,Partai Golongan Karya,9,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Kepulauan Riau,Kepulauan Riau,NasDem,Partai NasDem,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Kepulauan Riau,Kepulauan Riau,PKS,Partai Keadilan Sejahtera,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Kepulauan Riau,Kepulauan Riau,PDIP,Partai Demokrasi Indonesia Perjuangan,4,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Kepulauan Riau,Kepulauan Riau,Demokrat,Partai Demokrat,3,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Kepulauan Riau,Kepulauan Riau,PAN,Partai Amanat Nasional,2,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Kepulauan Riau,Kepulauan Riau,PKB,Partai Kebangkitan Bangsa,2,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Kepulauan Riau,Kepulauan Riau,Hanura,Partai Hati Nurani Rakyat,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Kepulauan Riau,Kepulauan Riau,PSI,Partai Solidaritas Indonesia,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Kepulauan Riau,Kepulauan Riau,Perindo,Partai Perindo,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Bengkulu,Bengkulu,Golkar,Partai Golongan Karya,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bengkulu,elected party seats only
Bengkulu,Bengkulu,Gerindra,Partai Gerakan Indonesia Raya,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bengkulu,elected party seats only
Bengkulu,Bengkulu,PAN,Partai Amanat Nasional,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bengkulu,elected party seats only
Bengkulu,Bengkulu,PDIP,Partai Demokrasi Indonesia Perjuangan,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bengkulu,elected party seats only
Bengkulu,Bengkulu,Demokrat,Partai Demokrat,4,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bengkulu,elected party seats only
Bengkulu,Bengkulu,NasDem,Partai NasDem,4,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bengkulu,elected party seats only
Bengkulu,Bengkulu,Hanura,Partai Hati Nurani Rakyat,3,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bengkulu,elected party seats only
Bengkulu,Bengkulu,PKB,Partai Kebangkitan Bangsa,3,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bengkulu,elected party seats only
Bengkulu,Bengkulu,PKS,Partai Keadilan Sejahtera,2,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bengkulu,elected party seats only
Bengkulu,Bengkulu,PPP,Partai Persatuan Pembangunan,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bengkulu,elected party seats only
Jambi,Jambi,PAN,Partai Amanat Nasional,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jambi,elected party seats only
Jambi,Jambi,Golkar,Partai Golongan Karya,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jambi,elected party seats only
Jambi,Jambi,Gerindra,Partai Gerakan Indonesia Raya,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jambi,elected party seats only
Jambi,Jambi,PDIP,Partai Demokrasi Indonesia Perjuangan,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jambi,elected party seats only
Jambi,Jambi,PKB,Partai Kebangkitan Bangsa,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jambi,elected party seats only
Jambi,Jambi,Demokrat,Partai Demokrat,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jambi,elected party seats only
Jambi,Jambi,NasDem,Partai NasDem,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jambi,elected party seats only
Jambi,Jambi,PKS,Partai Keadilan Sejahtera,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jambi,elected party seats only
Jambi,Jambi,PPP,Partai Persatuan Pembangunan,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Jambi,elected party seats only
Sumatera Selatan,Sumatera Selatan,Golkar,Partai Golongan Karya,12,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,Sumatera Selatan,Gerindra,Partai Gerakan Indonesia Raya,11,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,Sumatera Selatan,NasDem,Partai NasDem,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,Sumatera Selatan,PDIP,Partai Demokrasi Indonesia Perjuangan,9,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,Sumatera Selatan,Demokrat,Partai Demokrat,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,Sumatera Selatan,PKB,Partai Kebangkitan Bangsa,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,Sumatera Selatan,PKS,Partai Keadilan Sejahtera,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,Sumatera Selatan,PAN,Partai Amanat Nasional,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,Sumatera Selatan,PPP,Partai Persatuan Pembangunan,2,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,Sumatera Selatan,Hanura,Partai Hati Nurani Rakyat,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,Sumatera Selatan,PKN,Partai Kebangkitan Nusantara,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Sumatera Selatan,Sumatera Selatan,Perindo,Partai Perindo,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Selatan,elected party seats only
Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,PDIP,Partai Demokrasi Indonesia Perjuangan,9,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Bangka_Belitung,elected party seats only
Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,Golkar,Partai Golongan Karya,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Bangka_Belitung,elected party seats only
Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,Gerindra,Partai Gerakan Indonesia Raya,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Bangka_Belitung,elected party seats only
Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,NasDem,Partai NasDem,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Bangka_Belitung,elected party seats only
Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,PKS,Partai Keadilan Sejahtera,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Bangka_Belitung,elected party seats only
Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,Demokrat,Partai Demokrat,3,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Bangka_Belitung,elected party seats only
Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,PPP,Partai Persatuan Pembangunan,3,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Bangka_Belitung,elected party seats only
Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,PKB,Partai Kebangkitan Bangsa,2,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Bangka_Belitung,elected party seats only
Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,PBB,Partai Bulan Bintang,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Bangka_Belitung,elected party seats only
Lampung,Lampung,Gerindra,Partai Gerakan Indonesia Raya,16,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Lampung,elected party seats only
Lampung,Lampung,PDIP,Partai Demokrasi Indonesia Perjuangan,13,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Lampung,elected party seats only
Lampung,Lampung,Golkar,Partai Golongan Karya,11,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Lampung,elected party seats only
Lampung,Lampung,PKB,Partai Kebangkitan Bangsa,11,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Lampung,elected party seats only
Lampung,Lampung,NasDem,Partai NasDem,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Lampung,elected party seats only
Lampung,Lampung,Demokrat,Partai Demokrat,9,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Lampung,elected party seats only
Lampung,Lampung,PAN,Partai Amanat Nasional,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Lampung,elected party seats only
Lampung,Lampung,PKS,Partai Keadilan Sejahtera,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Lampung,elected party seats only
Banten,Banten,Gerindra,Partai Gerakan Indonesia Raya,14,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Banten,elected party seats only
Banten,Banten,Golkar,Partai Golongan Karya,14,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Banten,elected party seats only
Banten,Banten,PDIP,Partai Demokrasi Indonesia Perjuangan,14,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Banten,elected party seats only
Banten,Banten,PKS,Partai Keadilan Sejahtera,13,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Banten,elected party seats only
Banten,Banten,Demokrat,Partai Demokrat,11,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Banten,elected party seats only
Banten,Banten,NasDem,Partai NasDem,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Banten,elected party seats only
Banten,Banten,PKB,Partai Kebangkitan Bangsa,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Banten,elected party seats only
Banten,Banten,PAN,Partai Amanat Nasional,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Banten,elected party seats only
Banten,Banten,PPP,Partai Persatuan Pembangunan,4,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Banten,elected party seats only
Banten,Banten,PSI,Partai Solidaritas Indonesia,3,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Banten,elected party seats only
DKI Jakarta,DK Jakarta,PKS,Partai Keadilan Sejahtera,18,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
DKI Jakarta,DK Jakarta,PDIP,Partai Demokrasi Indonesia Perjuangan,15,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
DKI Jakarta,DK Jakarta,Gerindra,Partai Gerakan Indonesia Raya,14,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
DKI Jakarta,DK Jakarta,Golkar,Partai Golongan Karya,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
DKI Jakarta,DK Jakarta,NasDem,Partai NasDem,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
DKI Jakarta,DK Jakarta,PAN,Partai Amanat Nasional,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
DKI Jakarta,DK Jakarta,PKB,Partai Kebangkitan Bangsa,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Daerah_Khusus_Jakarta,elected party seats only
