province,province_raw,party_code,party_name,kabkot_seats
Nusa Tenggara Timur,East Nusa Tenggara,PNA,PNA,0
Nusa Tenggara Timur,East Nusa Tenggara,Gabthat,Gabthat,0
Nusa Tenggara Timur,East Nusa Tenggara,PDA,PDA,0
Nusa Tenggara Timur,East Nusa Tenggara,PA,PA,0
Nusa Tenggara Timur,East Nusa Tenggara,PASA,PASA,0
Nusa Tenggara Timur,East Nusa Tenggara,SIRA,SIRA,0
Nusa Tenggara Timur,East Nusa Tenggara,Ummat,Partai Ummat,0
Kalimantan Barat,West Kalimantan,PKB,Partai Kebangkitan Bangsa,39
Kalimantan Barat,West Kalimantan,Gerindra,Partai Gerakan Indonesia Raya,67
Kalimantan Barat,West Kalimantan,PDIP,Partai Demokrasi Indonesia Perjuangan,85
Kalimantan Barat,West Kalimantan,Golkar,Partai Golongan Karya,68
Kalimantan Barat,West Kalimantan,NasDem,Partai NasDem,68
Kalimantan Barat,West Kalimantan,Buruh,Partai Buruh,0
Kalimantan Barat,West Kalimantan,Gelora,Partai Gelombang Rakyat Indonesia,2
Kalimantan Barat,West Kalimantan,PKS,Partai Keadilan Sejahtera,27
Kalimantan Barat,West Kalimantan,PKN,Partai Kebangkitan Nusantara,0
Kalimantan Barat,West Kalimantan,Hanura,Partai Hati Nurani Rakyat,29
Kalimantan Barat,West Kalimantan,Garuda,Partai Garda Republik Indonesia,0
Kalimantan Barat,West Kalimantan,PAN,Partai Amanat Nasional,47
Kalimantan Barat,West Kalimantan,PBB,Partai Bulan Bintang,0
Kalimantan Barat,West Kalimantan,Demokrat,Partai Demokrat,51
Kalimantan Barat,West Kalimantan,PSI,Partai Solidaritas Indonesia,3
Kalimantan Barat,West Kalimantan,Perindo,Partai Perindo,8
Kalimantan Barat,West Kalimantan,PPP,Partai Persatuan Pembangunan,16
Kalimantan Barat,West Kalimantan,PNA,PNA,0
Kalimantan Barat,West Kalimantan,Gabthat,Gabthat,0
Kalimantan Barat,West Kalimantan,PDA,PDA,0
Kalimantan Barat,West Kalimantan,PA,PA,0
Kalimantan Barat,West Kalimantan,PASA,PASA,0
Kalimantan Barat,West Kalimantan,SIRA,SIRA,0
Kalimantan Barat,West Kalimantan,Ummat,Partai Ummat,0
Kalimantan Tengah,Central Kalimantan,PKB,Partai Kebangkitan Bangsa,37
Kalimantan Tengah,Central Kalimantan,Gerindra,Partai Gerakan Indonesia Raya,48
Kalimantan Tengah,Central Kalimantan,PDIP,Partai Demokrasi Indonesia Perjuangan,80
Kalimantan Tengah,Central Kalimantan,Golkar,Partai Golongan Karya,66
Kalimantan Tengah,Central Kalimantan,NasDem,Partai NasDem,36
Kalimantan Tengah,Central Kalimantan,Buruh,Partai Buruh,0
Kalimantan Tengah,Central Kalimantan,Gelora,Partai Gelombang Rakyat Indonesia,0
Kalimantan Tengah,Central Kalimantan,PKS,Partai Keadilan Sejahtera,10
Kalimantan Tengah,Central Kalimantan,PKN,Partai Kebangkitan Nusantara,0
Kalimantan Tengah,Central Kalimantan,Hanura,Partai Hati Nurani Rakyat,10
Kalimantan Tengah,Central Kalimantan,Garuda,Partai Garda Republik Indonesia,0
Kalimantan Tengah,Central Kalimantan,PAN,Partai Amanat Nasional,27
Kalimantan Tengah,Central Kalimantan,PBB,Partai Bulan Bintang,1
Kalimantan Tengah,Central Kalimantan,Demokrat,Partai Demokrat,34
Kalimantan Tengah,Central Kalimantan,PSI,Partai Solidaritas Indonesia,3
Kalimantan Tengah,Central Kalimantan,Perindo,Partai Perindo,16
Kalimantan Tengah,Central Kalimantan,PPP,Partai Persatuan Pembangunan,17
Kalimantan Tengah,Central Kalimantan,PNA,PNA,0
Kalimantan Tengah,Central Kalimantan,Gabthat,Gabthat,0
Kalimantan Tengah,Central Kalimantan,PDA,PDA,0
Kalimantan Tengah,Central Kalimantan,PA,PA,0
Kalimantan Tengah,Central Kalimantan,PASA,PASA,0
Kalimantan Tengah,Central Kalimantan,SIRA,SIRA,0
Kalimantan Tengah,Central Kalimantan,Ummat,Partai Ummat,0
Kalimantan Selatan,South Kalimantan,PKB,Partai Kebangkitan Bangsa,44
Kalimantan Selatan,South Kalimantan,Gerindra,Partai Gerakan Indonesia Raya,58
Kalimantan Selatan,South Kalimantan,PDIP,Partai Demokrasi Indonesia Perjuangan,46
Kalimantan Selatan,South Kalimantan,Golkar,Partai Golongan Karya,80
Kalimantan Selatan,South Kalimantan,NasDem,Partai NasDem,48
Kalimantan Selatan,South Kalimantan,Buruh,Partai Buruh,0
Kalimantan Selatan,South Kalimantan,Gelora,Partai Gelombang Rakyat Indonesia,2
Kalimantan Selatan,South Kalimantan,PKS,Partai Keadilan Sejahtera,41
Kalimantan Selatan,South Kalimantan,PKN,Partai Kebangkitan Nusantara,0
Kalimantan Selatan,South Kalimantan,Hanura,Partai Hati Nurani Rakyat,2
Kalimantan Selatan,South Kalimantan,Garuda,Partai Garda Republik Indonesia,0
Kalimantan Selatan,South Kalimantan,PAN,Partai Amanat Nasional,46
Kalimantan Selatan,South Kalimantan,PBB,Partai Bulan Bintang,3
Kalimantan Selatan,South Kalimantan,Demokrat,Partai Demokrat,28
Kalimantan Selatan,South Kalimantan,PSI,Partai Solidaritas Indonesia,0
Kalimantan Selatan,South Kalimantan,Perindo,Partai Perindo,0
Kalimantan Selatan,South Kalimantan,PPP,Partai Persatuan Pembangunan,32
Kalimantan Selatan,South Kalimantan,PNA,PNA,0
Kalimantan Selatan,South Kalimantan,Gabthat,Gabthat,0
Kalimantan Selatan,South Kalimantan,PDA,PDA,0
Kalimantan Selatan,South Kalimantan,PA,PA,0
Kalimantan Selatan,South Kalimantan,PASA,PASA,0
Kalimantan Selatan,South Kalimantan,SIRA,SIRA,0
Kalimantan Selatan,South Kalimantan,Ummat,Partai Ummat,0
Kalimantan Timur,East Kalimantan,PKB,Partai Kebangkitan Bangsa,32
Kalimantan Timur,East Kalimantan,Gerindra,Partai Gerakan Indonesia Raya,47
Kalimantan Timur,East Kalimantan,PDIP,Partai Demokrasi Indonesia Perjuangan,47
Kalimantan Timur,East Kalimantan,Golkar,Partai Golongan Karya,69
Kalimantan Timur,East Kalimantan,NasDem,Partai NasDem,36
Kalimantan Timur,East Kalimantan,Buruh,Partai Buruh,0
Kalimantan Timur,East Kalimantan,Gelora,Partai Gelombang Rakyat Indonesia,4
Kalimantan Timur,East Kalimantan,PKS,Partai Keadilan Sejahtera,27
Kalimantan Timur,East Kalimantan,PKN,Partai Kebangkitan Nusantara,0
Kalimantan Timur,East Kalimantan,Hanura,Partai Hati Nurani Rakyat,8
Kalimantan Timur,East Kalimantan,Garuda,Partai Garda Republik Indonesia,0
Kalimantan Timur,East Kalimantan,PAN,Partai Amanat Nasional,18
Kalimantan Timur,East Kalimantan,PBB,Partai Bulan Bintang,1
Kalimantan Timur,East Kalimantan,Demokrat,Partai Demokrat,27
Kalimantan Timur,East Kalimantan,PSI,Partai Solidaritas Indonesia,0
Kalimantan Timur,East Kalimantan,Perindo,Partai Perindo,3
Kalimantan Timur,East Kalimantan,PPP,Partai Persatuan Pembangunan,11
Kalimantan Timur,East Kalimantan,PNA,PNA,0
Kalimantan Timur,East Kalimantan,Gabthat,Gabthat,0
Kalimantan Timur,East Kalimantan,PDA,PDA,0
Kalimantan Timur,East Kalimantan,PA,PA,0
Kalimantan Timur,East Kalimantan,PASA,PASA,0
Kalimantan Timur,East Kalimantan,SIRA,SIRA,0
Kalimantan Timur,East Kalimantan,Ummat,Partai Ummat,0
Kalimantan Utara,North Kalimantan,PKB,Partai Kebangkitan Bangsa,9
Kalimantan Utara,North Kalimantan,Gerindra,Partai Gerakan Indonesia Raya,14
Kalimantan Utara,North Kalimantan,PDIP,Partai Demokrasi Indonesia Perjuangan,13
Kalimantan Utara,North Kalimantan,Golkar,Partai Golongan Karya,14
Kalimantan Utara,North Kalimantan,NasDem,Partai NasDem,11
Kalimantan Utara,North Kalimantan,Buruh,Partai Buruh,0
Kalimantan Utara,North Kalimantan,Gelora,Partai Gelombang Rakyat Indonesia,0
Kalimantan Utara,North Kalimantan,PKS,Partai Keadilan Sejahtera,11
Kalimantan Utara,North Kalimantan,PKN,Partai Kebangkitan Nusantara,0
Kalimantan Utara,North Kalimantan,Hanura,Partai Hati Nurani Rakyat,15
Kalimantan Utara,North Kalimantan,Garuda,Partai Garda Republik Indonesia,0
Kalimantan Utara,North Kalimantan,PAN,Partai Amanat Nasional,9
Kalimantan Utara,North Kalimantan,PBB,Partai Bulan Bintang,1
Kalimantan Utara,North Kalimantan,Demokrat,Partai Demokrat,19
Kalimantan Utara,North Kalimantan,PSI,Partai Solidaritas Indonesia,2
Kalimantan Utara,North Kalimantan,Perindo,Partai Perindo,1
Kalimantan Utara,North Kalimantan,PPP,Partai Persatuan Pembangunan,6
Kalimantan Utara,North Kalimantan,PNA,PNA,0
Kalimantan Utara,North Kalimantan,Gabthat,Gabthat,0
Kalimantan Utara,North Kalimantan,PDA,PDA,0
Kalimantan Utara,North Kalimantan,PA,PA,0
Kalimantan Utara,North Kalimantan,PASA,PASA,0
Kalimantan Utara,North Kalimantan,SIRA,SIRA,0
Kalimantan Utara,North Kalimantan,Ummat,Partai Ummat,0
Sulawesi Utara,North Sulawesi,PKB,Partai Kebangkitan Bangsa,17
Sulawesi Utara,North Sulawesi,Gerindra,Partai Gerakan Indonesia Raya,38
Sulawesi Utara,North Sulawesi,PDIP,Partai Demokrasi Indonesia Perjuangan,153
Sulawesi Utara,North Sulawesi,Golkar,Partai Golongan Karya,61
Sulawesi Utara,North Sulawesi,NasDem,Partai NasDem,46
Sulawesi Utara,North Sulawesi,Buruh,Partai Buruh,0
Sulawesi Utara,North Sulawesi,Gelora,Partai Gelombang Rakyat Indonesia,0
Sulawesi Utara,North Sulawesi,PKS,Partai Keadilan Sejahtera,6
Sulawesi Utara,North Sulawesi,PKN,Partai Kebangkitan Nusantara,0
Sulawesi Utara,North Sulawesi,Hanura,Partai Hati Nurani Rakyat,5
Sulawesi Utara,North Sulawesi,Garuda,Partai Garda Republik Indonesia,0
Sulawesi Utara,North Sulawesi,PAN,Partai Amanat Nasional,5
Sulawesi Utara,North Sulawesi,PBB,Partai Bulan Bintang,1
Sulawesi Utara,North Sulawesi,Demokrat,Partai Demokrat,38
Sulawesi Utara,North Sulawesi,PSI,Partai Solidaritas Indonesia,3
Sulawesi Utara,North Sulawesi,Perindo,Partai Perindo,19
Sulawesi Utara,North Sulawesi,PPP,Partai Persatuan Pembangunan,8
Sulawesi Utara,North Sulawesi,PNA,PNA,0
Sulawesi Utara,North Sulawesi,Gabthat,Gabthat,0
Sulawesi Utara,North Sulawesi,PDA,PDA,0
Sulawesi Utara,North Sulawesi,PA,PA,0
Sulawesi Utara,North Sulawesi,PASA,PASA,0
Sulawesi Utara,North Sulawesi,SIRA,SIRA,0
Sulawesi Utara,North Sulawesi,Ummat,Partai Ummat,0
Gorontalo,Gorontalo,PKB,Partai Kebangkitan Bangsa,6
Gorontalo,Gorontalo,Gerindra,Partai Gerakan Indonesia Raya,22
Gorontalo,Gorontalo,PDIP,Partai Demokrasi Indonesia Perjuangan,20
Gorontalo,Gorontalo,Golkar,Partai Golongan Karya,34
Gorontalo,Gorontalo,NasDem,Partai NasDem,30
Gorontalo,Gorontalo,Buruh,Partai Buruh,0
Gorontalo,Gorontalo,Gelora,Partai Gelombang Rakyat Indonesia,2
Gorontalo,Gorontalo,PKS,Partai Keadilan Sejahtera,9
Gorontalo,Gorontalo,PKN,Partai Kebangkitan Nusantara,0
Gorontalo,Gorontalo,Hanura,Partai Hati Nurani Rakyat,6
Gorontalo,Gorontalo,Garuda,Partai Garda Republik Indonesia,0
Gorontalo,Gorontalo,PAN,Partai Amanat Nasional,10
Gorontalo,Gorontalo,PBB,Partai Bulan Bintang,0
Gorontalo,Gorontalo,Demokrat,Partai Demokrat,11
Gorontalo,Gorontalo,PSI,Partai Solidaritas Indonesia,0
Gorontalo,Gorontalo,Perindo,Partai Perindo,1
Gorontalo,Gorontalo,PPP,Partai Persatuan Pembangunan,19
Gorontalo,Gorontalo,PNA,PNA,0
Gorontalo,Gorontalo,Gabthat,Gabthat,0
Gorontalo,Gorontalo,PDA,PDA,0
Gorontalo,Gorontalo,PA,PA,0
Gorontalo,Gorontalo,PASA,PASA,0
Gorontalo,Gorontalo,SIRA,SIRA,0
Gorontalo,Gorontalo,Ummat,Partai Ummat,0
Sulawesi Tengah,Central Sulawesi,PKB,Partai Kebangkitan Bangsa,33
Sulawesi Tengah,Central Sulawesi,Gerindra,Partai Gerakan Indonesia Raya,48
Sulawesi Tengah,Central Sulawesi,PDIP,Partai Demokrasi Indonesia Perjuangan,42
Sulawesi Tengah,Central Sulawesi,Golkar,Partai Golongan Karya,59
Sulawesi Tengah,Central Sulawesi,NasDem,Partai NasDem,55
Sulawesi Tengah,Central Sulawesi,Buruh,Partai Buruh,0
Sulawesi Tengah,Central Sulawesi,Gelora,Partai Gelombang Rakyat Indonesia,0
Sulawesi Tengah,Central Sulawesi,PKS,Partai Keadilan Sejahtera,25
Sulawesi Tengah,Central Sulawesi,PKN,Partai Kebangkitan Nusantara,0
Sulawesi Tengah,Central Sulawesi,Hanura,Partai Hati Nurani Rakyat,17
Sulawesi Tengah,Central Sulawesi,Garuda,Partai Garda Republik Indonesia,0
Sulawesi Tengah,Central Sulawesi,PAN,Partai Amanat Nasional,19
Sulawesi Tengah,Central Sulawesi,PBB,Partai Bulan Bintang,12
Sulawesi Tengah,Central Sulawesi,Demokrat,Partai Demokrat,40
Sulawesi Tengah,Central Sulawesi,PSI,Partai Solidaritas Indonesia,2
Sulawesi Tengah,Central Sulawesi,Perindo,Partai Perindo,20
Sulawesi Tengah,Central Sulawesi,PPP,Partai Persatuan Pembangunan,8
Sulawesi Tengah,Central Sulawesi,PNA,PNA,0
Sulawesi Tengah,Central Sulawesi,Gabthat,Gabthat,0
Sulawesi Tengah,Central Sulawesi,PDA,PDA,0
Sulawesi Tengah,Central Sulawesi,PA,PA,0
Sulawesi Tengah,Central Sulawesi,PASA,PASA,0
Sulawesi Tengah,Central Sulawesi,SIRA,SIRA,0
Sulawesi Tengah,Central Sulawesi,Ummat,Partai Ummat,0
Sulawesi Selatan,South Sulawesi,PKB,Partai Kebangkitan Bangsa,69
Sulawesi Selatan,South Sulawesi,Gerindra,Partai Gerakan Indonesia Raya,102
Sulawesi Selatan,South Sulawesi,PDIP,Partai Demokrasi Indonesia Perjuangan,58
Sulawesi Selatan,South Sulawesi,Golkar,Partai Golongan Karya,138
Sulawesi Selatan,South Sulawesi,NasDem,Partai NasDem,142
Sulawesi Selatan,South Sulawesi,Buruh,Partai Buruh,0
Sulawesi Selatan,South Sulawesi,Gelora,Partai Gelombang Rakyat Indonesia,10
Sulawesi Selatan,South Sulawesi,PKS,Partai Keadilan Sejahtera,58
Sulawesi Selatan,South Sulawesi,PKN,Partai Kebangkitan Nusantara,0
Sulawesi Selatan,South Sulawesi,Hanura,Partai Hati Nurani Rakyat,20
Sulawesi Selatan,South Sulawesi,Garuda,Partai Garda Republik Indonesia,0
Sulawesi Selatan,South Sulawesi,PAN,Partai Amanat Nasional,74
Sulawesi Selatan,South Sulawesi,PBB,Partai Bulan Bintang,3
Sulawesi Selatan,South Sulawesi,Demokrat,Partai Demokrat,69
Sulawesi Selatan,South Sulawesi,PSI,Partai Solidaritas Indonesia,2
Sulawesi Selatan,South Sulawesi,Perindo,Partai Perindo,10
Sulawesi Selatan,South Sulawesi,PPP,Partai Persatuan Pembangunan,69
Sulawesi Selatan,South Sulawesi,PNA,PNA,0
Sulawesi Selatan,South Sulawesi,Gabthat,Gabthat,0
Sulawesi Selatan,South Sulawesi,PDA,PDA,0
Sulawesi Selatan,South Sulawesi,PA,PA,0
Sulawesi Selatan,South Sulawesi,PASA,PASA,0
Sulawesi Selatan,South Sulawesi,SIRA,SIRA,0
Sulawesi Selatan,South Sulawesi,Ummat,Partai Ummat,1
Sulawesi Barat,West Sulawesi,PKB,Partai Kebangkitan Bangsa,14
Sulawesi Barat,West Sulawesi,Gerindra,Partai Gerakan Indonesia Raya,16
Sulawesi Barat,West Sulawesi,PDIP,Partai Demokrasi Indonesia Perjuangan,19
Sulawesi Barat,West Sulawesi,Golkar,Partai Golongan Karya,27
Sulawesi Barat,West Sulawesi,NasDem,Partai NasDem,23
Sulawesi Barat,West Sulawesi,Buruh,Partai Buruh,0
Sulawesi Barat,West Sulawesi,Gelora,Partai Gelombang Rakyat Indonesia,2
Sulawesi Barat,West Sulawesi,PKS,Partai Keadilan Sejahtera,8
Sulawesi Barat,West Sulawesi,PKN,Partai Kebangkitan Nusantara,1
Sulawesi Barat,West Sulawesi,Hanura,Partai Hati Nurani Rakyat,7
Sulawesi Barat,West Sulawesi,Garuda,Partai Garda Republik Indonesia,0
Sulawesi Barat,West Sulawesi,PAN,Partai Amanat Nasional,15
Sulawesi Barat,West Sulawesi,PBB,Partai Bulan Bintang,1
Sulawesi Barat,West Sulawesi,Demokrat,Partai Demokrat,24
Sulawesi Barat,West Sulawesi,PSI,Partai Solidaritas Indonesia,1
Sulawesi Barat,West Sulawesi,Perindo,Partai Perindo,3
Sulawesi Barat,West Sulawesi,PPP,Partai Persatuan Pembangunan,9
Sulawesi Barat,West Sulawesi,PNA,PNA,0
Sulawesi Barat,West Sulawesi,Gabthat,Gabthat,0
Sulawesi Barat,West Sulawesi,PDA,PDA,0
Sulawesi Barat,West Sulawesi,PA,PA,0
Sulawesi Barat,West Sulawesi,PASA,PASA,0
Sulawesi Barat,West Sulawesi,SIRA,SIRA,0
Sulawesi Barat,West Sulawesi,Ummat,Partai Ummat,0
Sulawesi Tenggara,Southeast Sulawesi,PKB,Partai Kebangkitan Bangsa,36
Sulawesi Tenggara,Southeast Sulawesi,Gerindra,Partai Gerakan Indonesia Raya,48
Sulawesi Tenggara,Southeast Sulawesi,PDIP,Partai Demokrasi Indonesia Perjuangan,74
Sulawesi Tenggara,Southeast Sulawesi,Golkar,Partai Golongan Karya,58
Sulawesi Tenggara,Southeast Sulawesi,NasDem,Partai NasDem,59
Sulawesi Tenggara,Southeast Sulawesi,Buruh,Partai Buruh,0
Sulawesi Tenggara,Southeast Sulawesi,Gelora,Partai Gelombang Rakyat Indonesia,0
Sulawesi Tenggara,Southeast Sulawesi,PKS,Partai Keadilan Sejahtera,33
Sulawesi Tenggara,Southeast Sulawesi,PKN,Partai Kebangkitan Nusantara,5
Sulawesi Tenggara,Southeast Sulawesi,Hanura,Partai Hati Nurani Rakyat,16
Sulawesi Tenggara,Southeast Sulawesi,Garuda,Partai Garda Republik Indonesia,0
Sulawesi Tenggara,Southeast Sulawesi,PAN,Partai Amanat Nasional,36
Sulawesi Tenggara,Southeast Sulawesi,PBB,Partai Bulan Bintang,20
Sulawesi Tenggara,Southeast Sulawesi,Demokrat,Partai Demokrat,37
Sulawesi Tenggara,Southeast Sulawesi,PSI,Partai Solidaritas Indonesia,1
Sulawesi Tenggara,Southeast Sulawesi,Perindo,Partai Perindo,5
Sulawesi Tenggara,Southeast Sulawesi,PPP,Partai Persatuan Pembangunan,12
Sulawesi Tenggara,Southeast Sulawesi,PNA,PNA,0
Sulawesi Tenggara,Southeast Sulawesi,Gabthat,Gabthat,0
Sulawesi Tenggara,Southeast Sulawesi,PDA,PDA,0
Sulawesi Tenggara,Southeast Sulawesi,PA,PA,0
Sulawesi Tenggara,Southeast Sulawesi,PASA,PASA,0
Sulawesi Tenggara,Southeast Sulawesi,SIRA,SIRA,0
Sulawesi Tenggara,Southeast Sulawesi,Ummat,Partai Ummat,0
Maluku,Maluku,PKB,Partai Kebangkitan Bangsa,31
Maluku,Maluku,Gerindra,Partai Gerakan Indonesia Raya,26
Maluku,Maluku,PDIP,Partai Demokrasi Indonesia Perjuangan,38
Maluku,Maluku,Golkar,Partai Golongan Karya,27
Maluku,Maluku,NasDem,Partai NasDem,35
Maluku,Maluku,Buruh,Partai Buruh,1
Maluku,Maluku,Gelora,Partai Gelombang Rakyat Indonesia,1
Maluku,Maluku,PKS,Partai Keadilan Sejahtera,25
Maluku,Maluku,PKN,Partai Kebangkitan Nusantara,4
Maluku,Maluku,Hanura,Partai Hati Nurani Rakyat,16
Maluku,Maluku,Garuda,Partai Garda Republik Indonesia,0
Maluku,Maluku,PAN,Partai Amanat Nasional,20
Maluku,Maluku,PBB,Partai Bulan Bintang,2
Maluku,Maluku,Demokrat,Partai Demokrat,22
Maluku,Maluku,PSI,Partai Solidaritas Indonesia,8
Maluku,Maluku,Perindo,Partai Perindo,18
Maluku,Maluku,PPP,Partai Persatuan Pembangunan,16
Maluku,Maluku,PNA,PNA,0
Maluku,Maluku,Gabthat,Gabthat,0
Maluku,Maluku,PDA,PDA,0
Maluku,Maluku,PA,PA,0
Maluku,Maluku,PASA,PASA,0
Maluku,Maluku,SIRA,SIRA,0
Maluku,Maluku,Ummat,Partai Ummat,0
Maluku Utara,North Maluku,PKB,Partai Kebangkitan Bangsa,26
Maluku Utara,North Maluku,Gerindra,Partai Gerakan Indonesia Raya,25
Maluku Utara,North Maluku,PDIP,Partai Demokrasi Indonesia Perjuangan,37
Maluku Utara,North Maluku,Golkar,Partai Golongan Karya,34
Maluku Utara,North Maluku,NasDem,Partai NasDem,24
Maluku Utara,North Maluku,Buruh,Partai Buruh,0
Maluku Utara,North Maluku,Gelora,Partai Gelombang Rakyat Indonesia,4
Maluku Utara,North Maluku,PKS,Partai Keadilan Sejahtera,14
Maluku Utara,North Maluku,PKN,Partai Kebangkitan Nusantara,1
Maluku Utara,North Maluku,Hanura,Partai Hati Nurani Rakyat,12
Maluku Utara,North Maluku,Garuda,Partai Garda Republik Indonesia,3
Maluku Utara,North Maluku,PAN,Partai Amanat Nasional,15
Maluku Utara,North Maluku,PBB,Partai Bulan Bintang,5
Maluku Utara,North Maluku,Demokrat,Partai Demokrat,25
Maluku Utara,North Maluku,PSI,Partai Solidaritas Indonesia,6
Maluku Utara,North Maluku,Perindo,Partai Perindo,10
Maluku Utara,North Maluku,PPP,Partai Persatuan Pembangunan,4
Maluku Utara,North Maluku,PNA,PNA,0
Maluku Utara,North Maluku,Gabthat,Gabthat,0
Maluku Utara,North Maluku,PDA,PDA,0
Maluku Utara,North Maluku,PA,PA,0
Maluku Utara,North Maluku,PASA,PASA,0
Maluku Utara,North Maluku,SIRA,SIRA,0
Maluku Utara,North Maluku,Ummat,Partai Ummat,0
Papua,Papua,PKB,Partai Kebangkitan Bangsa,17
Papua,Papua,Gerindra,Partai Gerakan Indonesia Raya,15
Papua,Papua,PDIP,Partai Demokrasi Indonesia Perjuangan,24
Papua,Papua,Golkar,Partai Golongan Karya,33
Papua,Papua,NasDem,Partai NasDem,24
Papua,Papua,Buruh,Partai Buruh,1
Papua,Papua,Gelora,Partai Gelombang Rakyat Indonesia,6
Papua,Papua,PKS,Partai Keadilan Sejahtera,11
Papua,Papua,PKN,Partai Kebangkitan Nusantara,5
Papua,Papua,Hanura,Partai Hati Nurani Rakyat,11
Papua,Papua,Garuda,Partai Garda Republik Indonesia,1
Papua,Papua,PAN,Partai Amanat Nasional,12
Papua,Papua,PBB,Partai Bulan Bintang,6
Papua,Papua,Demokrat,Partai Demokrat,14
Papua,Papua,PSI,Partai Solidaritas Indonesia,8
Papua,Papua,Perindo,Partai Perindo,13
Papua,Papua,PPP,Partai Persatuan Pembangunan,11
Papua,Papua,PNA,PNA,0
Papua,Papua,Gabthat,Gabthat,0
Papua,Papua,PDA,PDA,0
Papua,Papua,PA,PA,0
Papua,Papua,PASA,PASA,0
Papua,Papua,SIRA,SIRA,0
Papua,Papua,Ummat,Partai Ummat,3
Papua Barat,West Papua,PKB,Partai Kebangkitan Bangsa,9
Papua Barat,West Papua,Gerindra,Partai Gerakan Indonesia Raya,20
Papua Barat,West Papua,PDIP,Partai Demokrasi Indonesia Perjuangan,21
Papua Barat,West Papua,Golkar,Partai Golongan Karya,18
Papua Barat,West Papua,NasDem,Partai NasDem,17
Papua Barat,West Papua,Buruh,Partai Buruh,1
Papua Barat,West Papua,Gelora,Partai Gelombang Rakyat Indonesia,0
Papua Barat,West Papua,PKS,Partai Keadilan Sejahtera,9
Papua Barat,West Papua,PKN,Partai Kebangkitan Nusantara,0
Papua Barat,West Papua,Hanura,Partai Hati Nurani Rakyat,5
Papua Barat,West Papua,Garuda,Partai Garda Republik Indonesia,2
Papua Barat,West Papua,PAN,Partai Amanat Nasional,12
Papua Barat,West Papua,PBB,Partai Bulan Bintang,3
Papua Barat,West Papua,Demokrat,Partai Demokrat,5
Papua Barat,West Papua,PSI,Partai Solidaritas Indonesia,5
Papua Barat,West Papua,Perindo,Partai Perindo,13
Papua Barat,West Papua,PPP,Partai Persatuan Pembangunan,9
Papua Barat,West Papua,PNA,PNA,0
Papua Barat,West Papua,Gabthat,Gabthat,0
Papua Barat,West Papua,PDA,PDA,0
Papua Barat,West Papua,PA,PA,0
Papua Barat,West Papua,PASA,PASA,0
Papua Barat,West Papua,SIRA,SIRA,0
Papua Barat,West Papua,Ummat,Partai Ummat,1
Papua Selatan,South Papua,PKB,Partai Kebangkitan Bangsa,10
Papua Selatan,South Papua,Gerindra,Partai Gerakan Indonesia Raya,11
Papua Selatan,South Papua,PDIP,Partai Demokrasi Indonesia Perjuangan,20
Papua Selatan,South Papua,Golkar,Partai Golongan Karya,12
Papua Selatan,South Papua,NasDem,Partai NasDem,14
Papua Selatan,South Papua,Buruh,Partai Buruh,0
Papua Selatan,South Papua,Gelora,Partai Gelombang Rakyat Indonesia,1
Papua Selatan,South Papua,PKS,Partai Keadilan Sejahtera,8
Papua Selatan,South Papua,PKN,Partai Kebangkitan Nusantara,0
Papua Selatan,South Papua,Hanura,Partai Hati Nurani Rakyat,1
Papua Selatan,South Papua,Garuda,Partai Garda Republik Indonesia,1
Papua Selatan,South Papua,PAN,Partai Amanat Nasional,5
Papua Selatan,South Papua,PBB,Partai Bulan Bintang,2
Papua Selatan,South Papua,Demokrat,Partai Demokrat,6
Papua Selatan,South Papua,PSI,Partai Solidaritas Indonesia,2
Papua Selatan,South Papua,Perindo,Partai Perindo,2
Papua Selatan,South Papua,PPP,Partai Persatuan Pembangunan,5
Papua Selatan,South Papua,PNA,PNA,0
Papua Selatan,South Papua,Gabthat,Gabthat,0
Papua Selatan,South Papua,PDA,PDA,0
Papua Selatan,South Papua,PA,PA,0
Papua Selatan,South Papua,PASA,PASA,0
Papua Selatan,South Papua,SIRA,SIRA,0
Papua Selatan,South Papua,Ummat,Partai Ummat,0
Papua Tengah,Central Papua,PKB,Partai Kebangkitan Bangsa,12
Papua Tengah,Central Papua,Gerindra,Partai Gerakan Indonesia Raya,19
Papua Tengah,Central Papua,PDIP,Partai Demokrasi Indonesia Perjuangan,27
Papua Tengah,Central Papua,Golkar,Partai Golongan Karya,20
Papua Tengah,Central Papua,NasDem,Partai NasDem,16
Papua Tengah,Central Papua,Buruh,Partai Buruh,1
Papua Tengah,Central Papua,Gelora,Partai Gelombang Rakyat Indonesia,3
Papua Tengah,Central Papua,PKS,Partai Keadilan Sejahtera,9
Papua Tengah,Central Papua,PKN,Partai Kebangkitan Nusantara,9
Papua Tengah,Central Papua,Hanura,Partai Hati Nurani Rakyat,14
Papua Tengah,Central Papua,Garuda,Partai Garda Republik Indonesia,7
Papua Tengah,Central Papua,PAN,Partai Amanat Nasional,12
Papua Tengah,Central Papua,PBB,Partai Bulan Bintang,11
Papua Tengah,Central Papua,Demokrat,Partai Demokrat,11
Papua Tengah,Central Papua,PSI,Partai Solidaritas Indonesia,9
Papua Tengah,Central Papua,Perindo,Partai Perindo,16
Papua Tengah,Central Papua,PPP,Partai Persatuan Pembangunan,10
Papua Tengah,Central Papua,PNA,PNA,0
