province,province_raw,party_code,party_name,kabkot_seats
Kepulauan Riau,Riau Islands,PKS,Partai Keadilan Sejahtera,18
Kepulauan Riau,Riau Islands,PKN,Partai Kebangkitan Nusantara,1
Kepulauan Riau,Riau Islands,Hanura,Partai Hati Nurani Rakyat,9
Kepulauan Riau,Riau Islands,Garuda,Partai Garda Republik Indonesia,0
Kepulauan Riau,Riau Islands,PAN,Partai Amanat Nasional,11
Kepulauan Riau,Riau Islands,PBB,Partai Bulan Bintang,2
Kepulauan Riau,Riau Islands,Demokrat,Partai Demokrat,19
Kepulauan Riau,Riau Islands,PSI,Partai Solidaritas Indonesia,1
Kepulauan Riau,Riau Islands,Perindo,Partai Perindo,3
Kepulauan Riau,Riau Islands,PPP,Partai Persatuan Pembangunan,7
Kepulauan Riau,Riau Islands,PNA,PNA,0
Kepulauan Riau,Riau Islands,Gabthat,Gabthat,0
Kepulauan Riau,Riau Islands,PDA,PDA,0
Kepulauan Riau,Riau Islands,PA,PA,0
Kepulauan Riau,Riau Islands,PASA,PASA,0
Kepulauan Riau,Riau Islands,SIRA,SIRA,0
Kepulauan Riau,Riau Islands,Ummat,Partai Ummat,0
Jambi,Jambi,PKB,Partai Kebangkitan Bangsa,34
Jambi,Jambi,Gerindra,Partai Gerakan Indonesia Raya,41
Jambi,Jambi,PDIP,Partai Demokrasi Indonesia Perjuangan,40
Jambi,Jambi,Golkar,Partai Golongan Karya,52
Jambi,Jambi,NasDem,Partai NasDem,44
Jambi,Jambi,Buruh,Partai Buruh,0
Jambi,Jambi,Gelora,Partai Gelombang Rakyat Indonesia,0
Jambi,Jambi,PKS,Partai Keadilan Sejahtera,27
Jambi,Jambi,PKN,Partai Kebangkitan Nusantara,3
Jambi,Jambi,Hanura,Partai Hati Nurani Rakyat,4
Jambi,Jambi,Garuda,Partai Garda Republik Indonesia,0
Jambi,Jambi,PAN,Partai Amanat Nasional,57
Jambi,Jambi,PBB,Partai Bulan Bintang,1
Jambi,Jambi,Demokrat,Partai Demokrat,32
Jambi,Jambi,PSI,Partai Solidaritas Indonesia,0
Jambi,Jambi,Perindo,Partai Perindo,8
Jambi,Jambi,PPP,Partai Persatuan Pembangunan,32
Jambi,Jambi,PNA,PNA,0
Jambi,Jambi,Gabthat,Gabthat,0
Jambi,Jambi,PDA,PDA,0
Jambi,Jambi,PA,PA,0
Jambi,Jambi,PASA,PASA,0
Jambi,Jambi,SIRA,SIRA,0
Jambi,Jambi,Ummat,Partai Ummat,0
Sumatera Selatan,South Sumatra,PKB,Partai Kebangkitan Bangsa,62
Sumatera Selatan,South Sumatra,Gerindra,Partai Gerakan Indonesia Raya,92
Sumatera Selatan,South Sumatra,PDIP,Partai Demokrasi Indonesia Perjuangan,83
Sumatera Selatan,South Sumatra,Golkar,Partai Golongan Karya,85
Sumatera Selatan,South Sumatra,NasDem,Partai NasDem,69
Sumatera Selatan,South Sumatra,Buruh,Partai Buruh,0
Sumatera Selatan,South Sumatra,Gelora,Partai Gelombang Rakyat Indonesia,0
Sumatera Selatan,South Sumatra,PKS,Partai Keadilan Sejahtera,46
Sumatera Selatan,South Sumatra,PKN,Partai Kebangkitan Nusantara,5
Sumatera Selatan,South Sumatra,Hanura,Partai Hati Nurani Rakyat,25
Sumatera Selatan,South Sumatra,Garuda,Partai Garda Republik Indonesia,1
Sumatera Selatan,South Sumatra,PAN,Partai Amanat Nasional,71
Sumatera Selatan,South Sumatra,PBB,Partai Bulan Bintang,8
Sumatera Selatan,South Sumatra,Demokrat,Partai Demokrat,67
Sumatera Selatan,South Sumatra,PSI,Partai Solidaritas Indonesia,0
Sumatera Selatan,South Sumatra,Perindo,Partai Perindo,7
Sumatera Selatan,South Sumatra,PPP,Partai Persatuan Pembangunan,24
Sumatera Selatan,South Sumatra,PNA,PNA,0
Sumatera Selatan,South Sumatra,Gabthat,Gabthat,0
Sumatera Selatan,South Sumatra,PDA,PDA,0
Sumatera Selatan,South Sumatra,PA,PA,0
Sumatera Selatan,South Sumatra,PASA,PASA,0
Sumatera Selatan,South Sumatra,SIRA,SIRA,0
Sumatera Selatan,South Sumatra,Ummat,Partai Ummat,0
Kepulauan Bangka Belitung,Bangka Belitung,PKB,Partai Kebangkitan Bangsa,15
Kepulauan Bangka Belitung,Bangka Belitung,Gerindra,Partai Gerakan Indonesia Raya,27
Kepulauan Bangka Belitung,Bangka Belitung,PDIP,Partai Demokrasi Indonesia Perjuangan,41
Kepulauan Bangka Belitung,Bangka Belitung,Golkar,Partai Golongan Karya,26
Kepulauan Bangka Belitung,Bangka Belitung,NasDem,Partai NasDem,24
Kepulauan Bangka Belitung,Bangka Belitung,Buruh,Partai Buruh,0
Kepulauan Bangka Belitung,Bangka Belitung,Gelora,Partai Gelombang Rakyat Indonesia,0
Kepulauan Bangka Belitung,Bangka Belitung,PKS,Partai Keadilan Sejahtera,16
Kepulauan Bangka Belitung,Bangka Belitung,PKN,Partai Kebangkitan Nusantara,0
Kepulauan Bangka Belitung,Bangka Belitung,Hanura,Partai Hati Nurani Rakyat,6
Kepulauan Bangka Belitung,Bangka Belitung,Garuda,Partai Garda Republik Indonesia,0
Kepulauan Bangka Belitung,Bangka Belitung,PAN,Partai Amanat Nasional,7
Kepulauan Bangka Belitung,Bangka Belitung,PBB,Partai Bulan Bintang,8
Kepulauan Bangka Belitung,Bangka Belitung,Demokrat,Partai Demokrat,18
Kepulauan Bangka Belitung,Bangka Belitung,PSI,Partai Solidaritas Indonesia,2
Kepulauan Bangka Belitung,Bangka Belitung,Perindo,Partai Perindo,4
Kepulauan Bangka Belitung,Bangka Belitung,PPP,Partai Persatuan Pembangunan,11
Kepulauan Bangka Belitung,Bangka Belitung,PNA,PNA,0
Kepulauan Bangka Belitung,Bangka Belitung,Gabthat,Gabthat,0
Kepulauan Bangka Belitung,Bangka Belitung,PDA,PDA,0
Kepulauan Bangka Belitung,Bangka Belitung,PA,PA,0
Kepulauan Bangka Belitung,Bangka Belitung,PASA,PASA,0
Kepulauan Bangka Belitung,Bangka Belitung,SIRA,SIRA,0
Kepulauan Bangka Belitung,Bangka Belitung,Ummat,Partai Ummat,0
Bengkulu,Bengkulu,PKB,Partai Kebangkitan Bangsa,19
Bengkulu,Bengkulu,Gerindra,Partai Gerakan Indonesia Raya,32
Bengkulu,Bengkulu,PDIP,Partai Demokrasi Indonesia Perjuangan,29
Bengkulu,Bengkulu,Golkar,Partai Golongan Karya,39
Bengkulu,Bengkulu,NasDem,Partai NasDem,33
Bengkulu,Bengkulu,Buruh,Partai Buruh,0
Bengkulu,Bengkulu,Gelora,Partai Gelombang Rakyat Indonesia,2
Bengkulu,Bengkulu,PKS,Partai Keadilan Sejahtera,17
Bengkulu,Bengkulu,PKN,Partai Kebangkitan Nusantara,0
Bengkulu,Bengkulu,Hanura,Partai Hati Nurani Rakyat,11
Bengkulu,Bengkulu,Garuda,Partai Garda Republik Indonesia,0
Bengkulu,Bengkulu,PAN,Partai Amanat Nasional,35
Bengkulu,Bengkulu,PBB,Partai Bulan Bintang,4
Bengkulu,Bengkulu,Demokrat,Partai Demokrat,17
Bengkulu,Bengkulu,PSI,Partai Solidaritas Indonesia,0
Bengkulu,Bengkulu,Perindo,Partai Perindo,21
Bengkulu,Bengkulu,PPP,Partai Persatuan Pembangunan,16
Bengkulu,Bengkulu,PNA,PNA,0
Bengkulu,Bengkulu,Gabthat,Gabthat,0
Bengkulu,Bengkulu,PDA,PDA,0
Bengkulu,Bengkulu,PA,PA,0
Bengkulu,Bengkulu,PASA,PASA,0
Bengkulu,Bengkulu,SIRA,SIRA,0
Bengkulu,Bengkulu,Ummat,Partai Ummat,0
Lampung,Lampung,PKB,Partai Kebangkitan Bangsa,78
Lampung,Lampung,Gerindra,Partai Gerakan Indonesia Raya,91
Lampung,Lampung,PDIP,Partai Demokrasi Indonesia Perjuangan,98
Lampung,Lampung,Golkar,Partai Golongan Karya,83
Lampung,Lampung,NasDem,Partai NasDem,71
Lampung,Lampung,Buruh,Partai Buruh,1
Lampung,Lampung,Gelora,Partai Gelombang Rakyat Indonesia,0
Lampung,Lampung,PKS,Partai Keadilan Sejahtera,47
Lampung,Lampung,PKN,Partai Kebangkitan Nusantara,0
Lampung,Lampung,Hanura,Partai Hati Nurani Rakyat,2
Lampung,Lampung,Garuda,Partai Garda Republik Indonesia,0
Lampung,Lampung,PAN,Partai Amanat Nasional,52
Lampung,Lampung,PBB,Partai Bulan Bintang,0
Lampung,Lampung,Demokrat,Partai Demokrat,61
Lampung,Lampung,PSI,Partai Solidaritas Indonesia,0
Lampung,Lampung,Perindo,Partai Perindo,3
Lampung,Lampung,PPP,Partai Persatuan Pembangunan,13
Lampung,Lampung,PNA,PNA,0
Lampung,Lampung,Gabthat,Gabthat,0
Lampung,Lampung,PDA,PDA,0
Lampung,Lampung,PA,PA,0
Lampung,Lampung,PASA,PASA,0
Lampung,Lampung,SIRA,SIRA,0
Lampung,Lampung,Ummat,Partai Ummat,0
Jawa Barat,West Java,PKB,Partai Kebangkitan Bangsa,162
Jawa Barat,West Java,Gerindra,Partai Gerakan Indonesia Raya,187
Jawa Barat,West Java,PDIP,Partai Demokrasi Indonesia Perjuangan,200
Jawa Barat,West Java,Golkar,Partai Golongan Karya,207
Jawa Barat,West Java,NasDem,Partai NasDem,88
Jawa Barat,West Java,Buruh,Partai Buruh,2
Jawa Barat,West Java,Gelora,Partai Gelombang Rakyat Indonesia,0
Jawa Barat,West Java,PKS,Partai Keadilan Sejahtera,180
Jawa Barat,West Java,PKN,Partai Kebangkitan Nusantara,0
Jawa Barat,West Java,Hanura,Partai Hati Nurani Rakyat,6
Jawa Barat,West Java,Garuda,Partai Garda Republik Indonesia,0
Jawa Barat,West Java,PAN,Partai Amanat Nasional,82
Jawa Barat,West Java,PBB,Partai Bulan Bintang,3
Jawa Barat,West Java,Demokrat,Partai Demokrat,97
Jawa Barat,West Java,PSI,Partai Solidaritas Indonesia,8
Jawa Barat,West Java,Perindo,Partai Perindo,1
Jawa Barat,West Java,PPP,Partai Persatuan Pembangunan,72
Jawa Barat,West Java,PNA,PNA,0
Jawa Barat,West Java,Gabthat,Gabthat,0
Jawa Barat,West Java,PDA,PDA,0
Jawa Barat,West Java,PA,PA,0
Jawa Barat,West Java,PASA,PASA,0
Jawa Barat,West Java,SIRA,SIRA,0
Jawa Barat,West Java,Ummat,Partai Ummat,0
Jawa Tengah,Central Java,PKB,Partai Kebangkitan Bangsa,265
Jawa Tengah,Central Java,Gerindra,Partai Gerakan Indonesia Raya,193
Jawa Tengah,Central Java,PDIP,Partai Demokrasi Indonesia Perjuangan,444
Jawa Tengah,Central Java,Golkar,Partai Golongan Karya,194
Jawa Tengah,Central Java,NasDem,Partai NasDem,75
Jawa Tengah,Central Java,Buruh,Partai Buruh,0
Jawa Tengah,Central Java,Gelora,Partai Gelombang Rakyat Indonesia,1
Jawa Tengah,Central Java,PKS,Partai Keadilan Sejahtera,138
Jawa Tengah,Central Java,PKN,Partai Kebangkitan Nusantara,0
Jawa Tengah,Central Java,Hanura,Partai Hati Nurani Rakyat,22
Jawa Tengah,Central Java,Garuda,Partai Garda Republik Indonesia,0
Jawa Tengah,Central Java,PAN,Partai Amanat Nasional,68
Jawa Tengah,Central Java,PBB,Partai Bulan Bintang,0
Jawa Tengah,Central Java,Demokrat,Partai Demokrat,89
Jawa Tengah,Central Java,PSI,Partai Solidaritas Indonesia,10
Jawa Tengah,Central Java,Perindo,Partai Perindo,3
Jawa Tengah,Central Java,PPP,Partai Persatuan Pembangunan,108
Jawa Tengah,Central Java,PNA,PNA,0
Jawa Tengah,Central Java,Gabthat,Gabthat,0
Jawa Tengah,Central Java,PDA,PDA,0
Jawa Tengah,Central Java,PA,PA,0
Jawa Tengah,Central Java,PASA,PASA,0
Jawa Tengah,Central Java,SIRA,SIRA,0
Jawa Tengah,Central Java,Ummat,Partai Ummat,0
Daerah Istimewa Yogyakarta,Yogyakarta,PKB,Partai Kebangkitan Bangsa,27
Daerah Istimewa Yogyakarta,Yogyakarta,Gerindra,Partai Gerakan Indonesia Raya,28
Daerah Istimewa Yogyakarta,Yogyakarta,PDIP,Partai Demokrasi Indonesia Perjuangan,57
Daerah Istimewa Yogyakarta,Yogyakarta,Golkar,Partai Golongan Karya,28
Daerah Istimewa Yogyakarta,Yogyakarta,NasDem,Partai NasDem,16
Daerah Istimewa Yogyakarta,Yogyakarta,Buruh,Partai Buruh,0
Daerah Istimewa Yogyakarta,Yogyakarta,Gelora,Partai Gelombang Rakyat Indonesia,0
Daerah Istimewa Yogyakarta,Yogyakarta,PKS,Partai Keadilan Sejahtera,27
Daerah Istimewa Yogyakarta,Yogyakarta,PKN,Partai Kebangkitan Nusantara,0
Daerah Istimewa Yogyakarta,Yogyakarta,Hanura,Partai Hati Nurani Rakyat,0
Daerah Istimewa Yogyakarta,Yogyakarta,Garuda,Partai Garda Republik Indonesia,0
Daerah Istimewa Yogyakarta,Yogyakarta,PAN,Partai Amanat Nasional,20
Daerah Istimewa Yogyakarta,Yogyakarta,PBB,Partai Bulan Bintang,0
Daerah Istimewa Yogyakarta,Yogyakarta,Demokrat,Partai Demokrat,5
Daerah Istimewa Yogyakarta,Yogyakarta,PSI,Partai Solidaritas Indonesia,0
Daerah Istimewa Yogyakarta,Yogyakarta,Perindo,Partai Perindo,0
